025c5579ef90004fd8dc756f0010ccce050dfb0b1b27df344a23284bcb88ea6e,77f246108c7b40ed6f69e2013df62cd48f97b039e8810f2e71da26de62e0c2a7,770186e652cd8d38971250eea3668c7f76b5d894da239cc4d5d2e0054886d6f2,455528ae6996157b86c385f9e7f42eee20f3462147a887e77deec72717363303,54d68907197d1917b474137cc32a2531c0b6d0ab0f85f4569fbdcb0231de8b30,54a84820af715b94de00c053f4175721267e01724bae1b404a33f16a473c300f,a3f6352a39c4a53347435bc035548ddfd660fd7de1b432a1d974b5880c05e89a
"0","1","10008111","","0","1","10008101"
"0","2","10008115","","0","1","10008112"
"0","3","10008103","","0","3","10008101"
"0","4","10008115","","0","3","10008105"
"0","5","150","","0","4","10008112"
"0","6","10028111","","0","1","10028101"
"0","7","10028115","","0","1","10028112"
"0","8","10028103","","0","3","10028101"
"0","9","10028115","","0","3","10028105"
"0","10","150","","0","4","10028112"
"20012107","11","20012104","","0","11","20012104"
"20012109","12","20012108","","0","11","20012108"
"20012114","13","20012110","","0","11","20012110"
"20012115","14","20012115","","0","11","20012115"
"0","15","120","","0","4","20012110"
"0","16","20008111","","0","1","20008101"
"0","17","20008115","","0","1","20008112"
"0","18","20008103","","0","3","20008101"
"0","19","20008115","","0","3","20008105"
"0","20","150","","0","4","20008112"
