9ca266fb0ed80735e7fc866683858b4940fa4f4548fc234066feb20a35d4fb62,7cb47a302100fd89f00588ecfac7865a8668f165c85c96bc5845f0652d31506d,6eb10f376a47278aec3bc1be288a39d96929b3342b7ff05ee3a3c97595c6193a,68d32b05035449d8420d895bbe78cb65bded59c008cdf4b68edd83b335843277,2606beb3b8ebb2cc18229f66b6d26497354f2a848924e310df707c115b289332,e8ed1dc15fbb8ba979e54ebe0558aab20e2d3e71e36beecb6a8ad3dfa8e2a3a0,007fbaf850d5da0f2a8a860d262dda1598ae24e5c2b6d8b27ac0c396f590517d,541c1e14e08c3424d0d181024781767a2dc3f3119bc9ebe2d723041cd5a5ded0,83109a667b4caee45e1e29005e1f0ba8f2a3689f5107bc4c196489616943496c,5cad1061c93eeed50248b4492debbd14b466db04f138d0e078d0e5fc0eea622b,dcb9b0c69344e1f42f9dcc16099bb12e0070c36cae2ca8bc4d4dcf56ec335bf6,5423c783ac938b369d8dbe6f8d3816c284d7a387d287346582eb50a8bd3b87c1,f03384d7139a8b878114a2e0dd52686ad03d8fd739cbe685b080edc50e76485d,2d4b6ecf8f163faaf31fbeae84645d7612e7430865a9ae37919687c1a6c9ffe2,885043286df6dd9c69c20e09524585aab614ad86be6bc828dad260d3ebb77d0d,0f2173416d69c2b8be5eb98c929f1ece3fc29aff56db68309c6843f7d0cacd06,49e6244c4fbc7b2f2c7894b3f227e9dff64acc77ac13f845f9e8312bcb05252a,a6dd250319919f17d05d1a5ea402152ab442e8b62b5e106bd8bdd02524b26ea4,bd058e48abb2f39df1a941cb6163bc43f4b2c178110b877946008c6895db6595,7fa02be2c2d6d78517af49c9411e13c8c64e63f16908ba9d30d9848a8fdadffe,859d19fafae35e215f935cb422e36539762ed01aa3223d2bc08c2cb73bc8db18,d515648c62837c52fdc64f2bc9512725068a95fc84c42b9b6823566f330db31a,562206e0b725a9894a5de9bcc1408be21aded7ebd006d7a1d1cbf3f8e5db9360,d0a4c284b9ade1e60909d17cd8da1420d1a5ce2d531f09ed8a5d83d25b787dd0,aadc0072f8a9ad7b6c84c5759335f081f00172ad285d7e770cabac997ebd3dc5,eb71e58de6eeb69a65e04283a852310c3e3989c16d0558f72994505a756c398e,2b007aa1c35ad132c80f551bbd4c4cb77147f17b5ff1efa86e7ee8cc483cd00a,5725bb9dc523df71ea0585f5d9efc6398d70f0922ded6006e7562df2d5e04122,83624025a65aa7436545233306f6360b5cf895713def8e70936c667c6ecea5ec,102331ed0037d9c3b331b4e1abf70c761532857194f30c63ef0c65a02ef84a93,d086e48d50bafec4db418883e6deac9020a58c188679cd246a92942903dc7fa7,0fb0d18ab97eaa1f2a5e64e1c7f19e1579454ee614c45b5a29938c8f7f2e9fc2,d7bf54193da59c7d5e0b8df84b0a28622538b66efa239538b04697468264f135,9a11ed94831c81802cdc954b3e12c4835dafd09351036462edf4de2b71b31417,97d4f22e24b515e7c4b8fe797d0570023d5d0b30f0ab5f7e562b8070f5439fdb,a71ff6dca2d2a959d2341e6ae9900de089627e3ecf0c7e04338e3efb401ffe30,ddc05d051b4099014b161c3a36e1965a6a3dadcdc3d6bfd8be4093596e23e11e,d846481d6d3979526d9ddab148787bd24f5f00fcbc249dcfa3cefc0dd93c74a5,cc0f8967f8f8abd6cfc87f020453cbb5d77f82c30d2cc9cc87e005d453d56e56,218d93eda27a6b25e170ad95ded82ea69ab502b2b29b0d58e0374d03688bc023,b77ab8c961d4a6a451a886ea8b5d13bdebf3e3af956248d5b253e0099836488b
"0","0","258","0","600000003","620090001","0","0","0","36","1","0","620060001","0","3001","0","0","61001005","620130001","1","1","0","61001007","30","0","3001","0","0","0","61001004","0","600110031","18","0","0","1","0","0","0","1","0"
"0","0","258","0","600000004","620090001","0","0","0","36","1","0","620060001","0","4001","0","0","61001005","620130001","1","1","0","61001007","30","0","4001","0","0","0","61001004","0","600110041","18","0","0","1","0","0","0","1","0"
"0","0","268","0","600000005","620090002","0","0","0","36","1","0","620060002","0","5001","0","0","61001005","620130002","1","1","0","61001007","30","0","5001","0","0","0","61001004","0","600110051","18","0","0","1","0","0","0","1","0"
"0","0","273","0","600000006","620090003","0","0","0","36","1","0","620060003","0","6001","0","0","61001005","620130003","1","1","0","61001007","30","0","6001","0","0","0","61001004","0","600110061","18","0","0","1","0","0","0","1","0"
"0","0","281","0","600000007","620090004","0","0","0","36","1","0","620060004","0","7001","0","0","61001005","620130004","1","1","0","61001007","30","0","7001","0","0","0","61001004","0","600110071","18","0","0","1","0","0","0","1","0"
"0","0","288","0","600000008","620090005","0","0","0","36","1","0","620060005","0","8001","0","0","61001005","620130005","1","1","0","61001007","30","0","8001","0","0","0","61001004","0","600110081","18","0","0","1","0","0","0","1","0"
"0","0","298","0","600000009","620090006","0","0","0","36","1","0","620060006","0","9001","0","0","61001005","620130006","1","1","0","61001007","30","0","9001","0","0","0","61001004","0","600110091","18","0","0","1","0","0","0","1","0"
"0","0","309","0","600000010","620090007","0","0","0","36","1","0","620060007","0","10001","0","0","61001005","620130007","1","1","0","61001007","30","0","10001","0","0","0","61001004","0","600110101","18","0","0","1","0","0","0","1","0"
"0","0","313","0","600000011","620090008","0","0","0","36","1","0","620060008","0","11001","0","0","61001005","620130008","1","1","0","61001007","30","0","11001","0","0","0","61001004","0","600110111","18","0","0","1","0","0","0","1","0"
"0","0","321","0","600000012","620090009","0","0","0","36","1","0","620060009","0","12001","0","0","61001005","620130009","1","1","0","61001007","30","0","12001","0","0","0","61001004","0","600110121","18","0","0","1","0","0","0","1","0"
"0","0","326","0","600000013","620090010","0","0","0","36","1","0","620060010","0","13001","0","0","61001005","620130010","1","1","0","61001007","30","0","13001","0","0","0","61001004","0","600110131","18","0","0","1","0","0","0","1","0"
"0","0","336","0","600000014","620090011","0","0","0","36","1","0","620060011","0","14001","0","0","61001005","620130011","1","1","0","61001007","30","0","14001","0","0","0","61001004","0","600110141","18","0","0","1","0","0","0","1","0"
"0","0","341","0","600000015","620090012","0","0","0","36","1","0","620060012","0","15001","0","0","61001005","620130012","1","1","0","61001007","30","0","15001","0","0","0","61001004","0","600110151","18","0","0","1","0","0","0","1","0"
"0","0","351","0","600000016","620090013","0","0","0","36","1","0","620060013","0","16001","0","0","61001005","620130013","1","1","0","61001007","30","0","16001","0","0","0","61001004","0","600110161","18","0","0","1","0","0","0","1","0"
"0","0","356","0","600000017","620090014","0","0","0","36","1","0","620060014","0","17001","0","0","61001005","620130014","1","1","0","61001007","30","0","17001","0","0","0","61001004","0","600110171","18","0","0","1","0","0","0","1","0"
"0","0","366","0","600000018","620090015","0","0","0","36","1","0","620060015","0","18001","0","0","61001005","620130015","1","1","0","61001007","30","0","18001","0","0","0","61001004","0","600110181","18","0","0","1","0","0","0","1","0"
"0","0","371","0","600000019","620090016","0","0","0","36","1","0","620060016","0","19001","0","0","61001005","620130016","1","1","0","61001007","30","0","19001","0","0","0","61001004","0","600110191","18","0","0","1","0","0","0","1","0"
