b118c24ea54b781918118f87677854a4694531fe01fd78b2b9f8342011211693,622b2850f980fb69e0575c20cbe109609aa9485827a6f6d04c9b879de5b04271,88cbe2350c6c5c189c451db225fedc618fb8eb4bd20a61f733020232c53f3065,9f8c3b3d223ddc4b42f1a53af35f3bb0db5764237a5240c50a44c2ef08d8a80f,5738590ec4a58e6571f4a92b751df8ae0c8a5e1ce8846631e12e03b6603cc36b,e7f6ae84781305167f88e842385bc1487ab6ae0559914d5d003dbd88f4d4d387,4f99f0e0a67633ab165f1dac9acb2b3f0422b7c62924d6853c5e8e060ef12d94,e9c105ea3625f3f51343b8c2815c682b22ebecb4e9eb950b4f72ab19927ad8ee,7fd6bb62cf0bd1687a8063c1ffd7bd6660747452f5f851b8a2a8e8d4cb0759eb,66394926f556102217e8b3fd97ab87c84f78373013e58b6129625d7109aa2394,6e8ca464e0114dbe86a392355c114dc3d2073de11bd256527e7da7557691e8e9,a93b732099a01d692ff3765ee375fcd94b0e43847ff9a094caf463b8b2084883,e2bacf72593d8b4642a4b806741759f6c71d84d7c1d82393834df9f30ded4dec,51ad0a3828c29244c050795f3f51c21debde8ac644331f8d556a26abfa091018
"在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","1","122601","0","1","1.5","1","110","0","101","1","0.029","160","105"
"比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","3","122401","0","2","2.5","2","105","1","102","0","0.014","120","111"
"在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","2","122501","1","3","2.5","3","110","0","103","0","0.017","350","105"
"最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","3","107501","0","4","1.5","4","110","1","104","0","0.016","130","105"
"在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","1","107601","0","5","2.5","5","110","0","105","1","0.014","160","105"
"對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","2","107801","1","6","3.5","6","120","0","106","0","0.029","255","103"
"優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","1","110601","0","7","3.5","7","120","0","107","1","0.013","160","103"
"守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","2","110401","1","8","2.5","8","110","0","108","0","0.014","350","103"
"在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","3","110501","0","9","1.5","9","105","1","109","0","0.012","130","100"
"察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","1","115701","0","10","2.5","10","105","0","110","1","0.014","200","103"
"再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","2","113601","1","11","2.5","11","105","0","111","0","0.071","350","103"
"在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","3","107901","0","12","1.5","12","120","1","112","0","0.014","130","103"
"即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","2","108001","0","13","1.5","13","110","0","113","1","0.022","200","105"
"非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","1","110301","0","14","2.5","14","110","0","114","1","0.031","160","108"
"於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","1","107701","0","15","0.5","15","110","1","115","0","0.036","130","105"
