9691fbc087e70e13e173c0aee94fdb1a6d0a9ffff527a14c49f8f641016d9022,8a2e4d12d8082170edb98afa08d1e470bef81204e554b9bd43c1d298a3a6411a,d84ce422590cd4085b8310a3bffb88982de02ecc989cfd5862aabbff271188cf,5e4fd290938e79170952b9d73adca03f960174483b98e47953174d77d774f9d5,aea9d001f9a981b6eae5235b5a0437151b6a199c12d9d1f4457d1bda303d004b
"320001011","1000","25011","32000101","2"
"320001012","1000","25012","32000101","2"
"320001021","1000","25013","32000102","2"
"320001022","1000","25014","32000102","2"
"320001031","1000","91002","32000103","8"
"320001032","3000000","94002","32000103","12"
"320001033","1000","25015","32000103","2"
"320001034","1000","25021","32000103","2"
"320001041","1000","25013","32000104","2"
"320001042","1000","25014","32000104","2"
"320001051","1000","25012","32000105","2"
"320001052","1000","25015","32000105","2"
"320001061","1000","91002","32000106","8"
"320001062","3000000","94002","32000106","12"
"320001063","1000","25011","32000106","2"
"320001064","1000","25021","32000106","2"
"320001071","1000","25014","32000107","2"
"320001072","1000","25015","32000107","2"
"320001081","1000","25011","32000108","2"
"320001082","1000","25013","32000108","2"
"320001091","1000","91002","32000109","8"
"320001092","3000000","94002","32000109","12"
"320001093","1000","25012","32000109","2"
"320001094","1000","25021","32000109","2"
"320001101","3000","25011","32000110","2"
"320001102","3000","25012","32000110","2"
"320001103","3000","25013","32000110","2"
"320001104","3000","25014","32000110","2"
"320001105","3000","25015","32000110","2"
"320001111","3000","25011","32000111","2"
"320001112","3000","25012","32000111","2"
"320001113","3000","25013","32000111","2"
"320001114","3000","25014","32000111","2"
"320001115","3000","25015","32000111","2"
"320001121","3000","25011","32000112","2"
"320001122","3000","25012","32000112","2"
"320001123","3000","25013","32000112","2"
"320001124","3000","25014","32000112","2"
"320001125","3000","25015","32000112","2"
"320001131","1","21953","32000113","2"
"320001132","2000","25021","32000113","2"
