cf16ed6049686af7b1e83814f953d362ecc3c232ed1aa564fd92e89ff49ec8a2,7f25299c191a37987efa0ec9aca8f20ad3851f9324023f4fda315e6c1c434e49,6612573007a0814613c723415949b10153978152bbcad99c651541a0b1fd74e7,7890ae9bd73f8a794aa47f050f7fde4369b71108c3e9ce6507039b9e44507206
"1","1","22","53001"
"500","2","21","99007"
"1","3","21","99008"
"800","4","21","99007"
"2000","5","21","99007"
"1000","6","21","99007"
"2","7","22","53001"
"2","8","21","99008"
"3","9","21","99008"
"1","10","22","53002"
"3","11","22","53001"
