9e4ffdf21703a67bcce25f8d9a2b9b6aed873b7418ee515e73ff4269af647006,fd9b15ac70ab98070b05e7dcafd507aa30670b3becd96223cb865c05134fd811,10a6956da536c10a56062d757106976464bd1e6f1480a3f8174b3d9ed8d6a3df,0675d7d621f15706f5de7860998b4eb6da698659058b6644599524fcf9352c72,1b173a1c7ffa793163153d93007df4c749651a16d59a016882440e0656d676c1,9420d44cb46970facb5a447cdd6bf05c4c0b7f4ada766e61220ffa94eb28f385
"10101001","15","1","1","58002001","1001"
"10101002","15","2","1","58002002","1002"
"10101003","15","3","1","58002003","1003"
"10201001","15","4","1","56011001","1001"
"10201002","15","5","1","56011002","1002"
"10201003","15","6","1","56011003","1003"
"91002","8","7","50","56011003","0"
"10201004","15","8","1","56011004","1001"
"10201005","15","9","1","56011005","1002"
"10201006","15","10","1","56011006","1003"
"91002","8","11","50","56011006","0"
"10201007","15","12","1","56011007","1001"
"10201008","15","13","1","56011008","1002"
"10201009","15","14","1","56011009","1003"
"91002","8","15","50","56011009","0"
"10201010","15","16","1","56011010","1001"
"10201011","15","17","1","56011011","1002"
"10201012","15","18","1","56011012","1003"
"91002","8","19","50","56011012","0"
"10201013","15","20","1","56011013","1001"
"10201014","15","21","1","56011014","1002"
"10201015","15","22","1","56011015","1003"
"91002","8","23","50","56011015","0"
"10201016","15","24","1","56011016","1001"
"10201017","15","25","1","56011017","1002"
"10201018","15","26","1","56011018","1003"
"91002","8","27","50","56011018","0"
"10201019","15","28","1","56011019","1001"
"10201020","15","29","1","56011020","1002"
"10201021","15","30","1","56011021","1003"
"91002","8","31","50","56011021","0"
"10201022","15","32","1","56011022","1001"
"10201023","15","33","1","56011023","1002"
"10201024","15","34","1","56011024","1003"
"91002","8","35","50","56011024","0"
"10201025","15","36","1","56011025","1001"
"10201026","15","37","1","56011026","1002"
"10201027","15","38","1","56011027","1003"
"91002","8","39","50","56011027","0"
"10201028","15","40","1","56011028","1001"
"10201029","15","41","1","56011029","1002"
"10201030","15","42","1","56011030","1003"
"91002","8","43","50","56011030","0"
"10201031","15","44","1","56011031","1001"
"10201032","15","45","1","56011032","1002"
"10201033","15","46","1","56011033","1003"
"91002","8","47","50","56011033","0"
"10201034","15","48","1","56011034","1001"
"10201035","15","49","1","56011035","1002"
"10201036","15","50","1","56011036","1003"
"91002","8","51","50","56011036","0"
"10201037","15","52","1","56011037","1001"
"10201038","15","53","1","56011038","1002"
"10201039","15","54","1","56011039","1003"
"91002","8","55","50","56011039","0"
"10201040","15","56","1","56011040","1001"
"10201041","15","57","1","56011041","1002"
