76eb29eaec96a92b390023044cd245bc38eb370e4e8746f74e03c4677e7d3276,2026d2814347bc7831f56bc3df202a8a0206e8358ee6181138a8a52d5d4cd3d0,3f09611b4b1d759458fb8d73a5848d649565fe1301823b0da991f9e2eff3738d,c3cbacb2b3bab88f12fa42c63a99b122626faab38d16b45366e560a068a0ef25,dba0584acecef128bf358b0aa7ffabd3ce17c99789f1f71bf94f9b52a63cfca4,43b917c50798905031551eb2dd31c20927342789c804ba90443db6500e63eab9,c14ed960daf6c65d422ffaca561ccc5c0a00e3dbb149504bdbec5b468ccdd9a8,413a8b956160004023121ef837ef4aa1448b08442167d0b5769dea260b81f458,eef37027fe53c616ab4b0abd2368cc581f16d320b8fb700087183ca3636e08bf,e73ea531e730ec17ccdbe9a2b20fddbcb86c32305e4d4361d02aa25d058df69d,45c950f5a0ebfd546c8b85304dfe2feb75ee1619fcbc6c30ba2eb88437742fdf,152d9830779179e9aa8e6cada3527f568c495a57fccc325cfa8ee9e191c88973,252a2b84be9864ce3ccf3ac440f5996b105428823b5406c41ee0889ba9f396f7,52f01f582189365a48eb860c0834c273e15ac3314cc99b2de3f31f3a03e8ef3e,608056a6ebe0cd11731e933252a12a4971cfb750443b3a57b835020ccbc4b525,7016e9e92c3ff19eb6481e94ac469a0817bfe7edfca5ee5f595c9d600e2367e4,ca0ec22fcc92bbd3c742ecd2a0d1003549ec832e0d47bef87f090970021386b0,50fac44b54e50ec7792fb193d0caa48281cb9d5801ee915f7483cf0708a7997b,a3437e49b6e9cfa9e0dc591b81b1f21b8a381db6fc58850d01a15a6afd3a4237,65cb17999efa9a1f178695533e20faa15b1fe9ff050ad92385730511b51ab698,ff05930046b6b4c9fe6b856b648759990f653e3591b79d165462d5bd0eafe47d,b3cd927e44b62fa4fa45485a0a80f8d511cdfdbe6d91304092153ed1f85fd428
"101","0","10","0","2","完成1次活動冒險","0","1","6114","9004","1","2025/06/01 16:00:00","0","1","601","0","0","101","10101","10110101","0","62001"
"201","94002","50","1","2","閱覽活動劇情序幕","100000","2","6113","9002","1","2025/06/01 16:00:00","0","2","601","0","12","101","20101","10120101","0","62001"
"201","94002","50","2","2","閱覽活動劇情 第1話（迷宮女王）","100000","2","6113","9002","1","2025/06/01 16:00:00","0","2","601","0","12","101","20102","10120102","0","62001"
"201","94002","50","3","2","閱覽活動劇情 第1話（誓約女君）","100000","2","6113","9002","1","2025/06/01 16:00:00","0","2","601","0","12","101","20103","10120103","0","62001"
"201","94002","50","4","2","閱覽活動劇情 第1話（跳躍王）","100000","2","6113","9002","1","2025/06/01 16:00:00","0","2","601","0","12","101","20104","10120104","0","62001"
"201","94002","50","5","2","閱覽活動劇情 第2話","100000","2","6113","9002","1","2025/06/01 16:00:00","0","2","601","0","12","101","20105","10120105","0","62001"
"201","94002","50","6","2","閱覽活動劇情 第3話","100000","2","6113","9002","1","2025/06/07 16:00:00","0","2","601","0","12","101","20106","10120106","0","62001"
"201","94002","50","7","2","閱覽活動劇情 第4話（霸瞳皇帝）","100000","2","6113","9002","1","2025/06/07 16:00:00","0","2","601","0","12","101","20107","10120107","0","62001"
"201","94002","50","8","2","閱覽活動劇情 第4話（變貌大妃）","100000","2","6113","9002","1","2025/06/07 16:00:00","0","2","601","0","12","101","20108","10120108","0","62001"
"201","94002","50","9","2","閱覽活動劇情 第4話（嚮導老君）","100000","2","6113","9002","1","2025/06/07 16:00:00","0","2","601","0","12","101","20109","10120109","0","62001"
"201","94002","50","10","2","閱覽活動劇情 第5話","100000","2","6113","9002","1","2025/06/07 16:00:00","0","2","601","0","12","101","20110","10120110","0","62001"
