606ab56b9bd7ccda00f1aaa95f32bb49c95c30f7b7a62a435add1836d377f9a2,eabb337c92935591e09df6009efae74f4a7e09f12da0946ab960c5bbdab07980,c3eaed3b982b4b8f7c6ceb29c265536a780a7f01309e2fd210af474b8d5b6103,88efd6f83d2d01a84c46cbcfb5f2dcbdbcf92c52af26ab3051a9ccfc4fe1830d,573648e5dcab9e112c5c1f15daed9576fd0849892b355e66cd6529924329642f,6f70fa1216eb5cf13b42931cc6f8b7246f4a347316fe25d8e919c91a388bff1a,761a14b71ee90f559388e84902a769bbbb3a161661eae9e2fd9ac06e42ebbb02,1116c144b47e4a1388147e69d173c4bfcabc96e0b3866e61a7dcb26505282d1e,cb537e02ee11211b6ab05b3ea31f7de891b412c24532a42e7eeecf5c2a84ea4e,71abfab39edc1ee11eaa2a7399f0c456b461b83e5a73cf70aedcfbb1b14faa2a,f7227e63d4433987b8ad833495db386107357393ff46d59dcf2068c1288a7e56,535a66bd775c43610b4739e38c00e29e0005b0dd5e479afc69b3097b0ff10e94,463306edeb6ad9ed21d7028d28039e7962736de54caddbfa6bffa4400f0dff5a,cee1acee01818458eab2ecf00bfc8b0f0962263c0fd36c5173bd02ca541d896e,52fa27d1e388ceb624a28f97e6944979fddcf073c8f9c1df3630314d8601a1ac,159381f8e0252d9c97e5c77809525823b667d2418f098228f11e59e403950a9a,b2a15e891c8fba2cb86b968d50299435ba3475a4c19038b096d47c0077777bcb,14fdd8dcc672764ee3ba4168eda4f757fbf66dde68ffbdad037f883cbf13aeb0,695dfb8a3008e9ce8f7370b68d429d88553385f7323850e2d6f1cd7b43343651,ea2fe22da39cdeccf450192a7eb84ef0332b3243fee9c3884e70b77f243c53b4,0a6cfeb89a53a61a0bcfeee3d7f4eecea7040e7c9ff0ca7c33e28382528799d6,ed874d6da225bb26421c5227d250d3b5d20fc7dc5c815bccf3969c46be946316,a50f42653ffceed8c2e3ea487699604a0aa284f4fe1718c3ea024ef703929cea,5e5163d03643878f8319169fd0c43379848c7565a03da64ebcf4e1235d8419b1,ab8bd41031947fabd8dda9f1f260ec7693b64d2b96afe97b2460cac24177b348,3dfcae566b4b0cc0f5fa29514e7d2d1a186b1ffd655a87011bfa6e7db7b46d15,e1c38910877cf461f0a2a395f850cc13e65989185550f7e6a1bf0a014bb1a548,a092e803c6d19cd91fc6449833929994791679168471a49ec0ff6373fd0322b2,6e3f7c1deed9578b424aad234c7b58ccf9503b3ed83890cc569a3268a4b9ab2d,096140cf9292cf29002f47f9959eee920852cd0db0086356585427da82da040d,046871f16db5600e74ab34214a654d5d54785ee9264ca4dcafef2f69ce122b7e,5243142485f5c626eed2932a8e3e3e7c91b4cdf889a7949b0ec4904213c3a8a1,ed328608c6802bcaf9f3723f91a146e47009468774daaf416b026ddfaec0bc28,6e056e88145190fae8ea7ea0a07f38c881d06726cebf66e0fc9591c5da4459f4,4b7938832196eb7347b97838548e4d41c31c0536b83637316d242d57ed9bf751,e4da18372c027f7c16bcca80dff0881ae157f2241a0edf4e957792da521a16cb,48e94c5f7223f6194cdfebd2ffbec60743b325268d88acdc7ed733ace8831852,800ec80456f49fa325fee42402cef8e1d7f4358ea1c56941afdbd15b6705d5e2,ed41c3f8b6234ebdcb697ee20420b992d406851b657765061060bafa84af66b1,0f7eb4201c23c1908c438dd7947c80f0e42cdaa1e78394f7e7f76bb4e8c79076,ac22f76038a7062353fc3da19df87c0bcae16ed7e5b825e62af404ec71890f49,817cfa4c4b795ae322301ebffe49b0a6940ef5bb1c82fd1e88a6186ac7aff2e6,08b0b2ef9cfdf5ee7fe6f5be5e8f500a6430827387c3f4504aa272cf574ee267,61570d168ccedcb43a306a58b19f384c5e44333c9fe946dd100e4a9a67d6b5ab
"0","0","3100","0","魔像","891","0","3100","924070101","200000001","0","0","44","0","0","0","0","1","3100","0","250700","0","1109","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","3775","310","0","0","0","0","2863593"
"0","0","3100","0","哥布林護衛","801","0","3100","924070102","200000001","0","0","44","0","0","0","0","1","3100","0","251200","0","1319","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","4364","310","0","0","0","0","2663955"
"0","6","310","0","純的闇影","946","0","310","924070103","200000001","0","0","44","0","0","0","0","32","310","40","604701","5","876","0","0","535","0","310","0","0","310","1","0","0","26","310","0","10499","310","69","0","0","0","4144500"
"0","6","310","0","怜的闇影","946","0","310","924070104","200000001","0","0","48","0","0","0","0","32","310","46","600301","0","876","0","0","1645","0","310","0","0","310","1","0","0","7","310","0","21556","310","40","0","0","0","3453750"
"0","0","3100","0","洞窟猿猴","645","0","3100","924070105","200000001","0","0","44","0","0","0","0","1","3100","0","256800","0","792","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","16227","310","0","0","0","0","2703750"
"0","1","0","150","爆裂敵人","0","0","0","924070106","300000009","0","0","100","0","0","0","0","1","100","0","217300","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","500","0","0","5000","0","1000000000"
"0","0","3100","0","生者劍士像","2239","0","3100","924070201","200000001","0","0","44","0","0","0","0","1","3100","0","251000","0","995","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","10609","310","0","0","0","0","5736000"
"0","0","3100","0","石蜥","1120","0","3100","924070202","200000001","0","0","44","0","0","0","0","1","3100","0","250200","0","1244","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","29183","310","0","0","0","0","4624000"
"0","5","310","0","莉莉（墮落）的闇影","338","0","310","924070203","200000001","0","0","44","0","0","0","0","32","310","34","625801","0","378","0","0","1847","0","310","0","0","310","1","0","0","4","310","0","53569","310","30","0","0","0","7368000"
"0","5","310","0","莫妮卡（魔法少女）的闇影","627","0","310","924070204","200000001","0","0","44","0","0","0","0","32","310","33","614201","1","654","0","0","1755","0","310","0","0","310","1","0","0","14","310","0","48013","310","870","0","0","0","6999600"
"0","0","3100","0","噬岩怪","374","0","3100","924070205","200000001","0","0","44","0","0","0","0","1","3100","0","258700","0","249","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","14666","310","0","0","0","0","4320950"
"0","1","0","150","爆裂敵人","0","0","0","924070206","300000009","0","0","100","0","0","0","0","1","100","0","217300","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","500","0","0","5000","0","1000000000"
"0","0","3100","0","高等獸人","2333","0","3100","924070301","200000001","0","0","44","0","0","0","0","1","3100","0","252900","0","933","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","13040","310","0","0","0","0","13001402"
"0","0","3100","0","樹精","1866","0","3100","924070302","200000001","0","0","44","0","0","0","0","1","3100","0","251800","0","1244","0","0","0","0","3100","0","0","3100","0","0","0","0","3100","0","14398","310","0","0","0","0","12735143"
"0","5","310","0","克蘿依的闇影","460","0","310","924070303","200000001","0","0","64","0","0","0","0","32","310","28","610801","0","621","0","0","2753","0","310","0","0","310","1","0","0","48","310","0","70605","310","30","0","0","0","9135162"
"0","5","310","0","美冬（工作服）的闇影","903","0","310","924070304","200000001","0","0","44","0","0","0","0","32","310","39","616901","0","1239","0","0","1308","0","310","0","0","310","1","0","0","13","310","0","67552","310","35","0","0","0","9375125"
"0","5","310","0","璃乃（奇幻）的闇影","727","0","310","924070305","200000001","0","0","65","0","0","0","0","32","310","44","612901","0","507","0","0","2066","0","310","0","0","310","1","0","0","5","310","0","73432","310","30","0","0","0","8585793"
