dcd4aad1b959d385a91251651d6233afee93beae3543bfc34664deb72ada184a,9cc122fa8a65c6ab00b8d4e49b343dea00c821a8c17c4d5044fb237f638053d6,76f26d3d7d7e7115e3411825a1d68b51a8c3144077ed0375147a2e922fd1f7eb,806435d973cf4e24b7e4e72f39055f1e4cfdf95f8e77a498397dca4bb4322515,7e262aa3166dec23a2e5a7a5001254fca11d3abebbfbca95f4ffe0f13f99ee03,3bc4f97e1a938f043b49a9f4adcb8a8102a7650b9377e42425c77055c0524dfd,c30aa771e5c6dfb7494f4ddb59dafa62aec53bc11b097330f0ed810d9270356a,50e06c5f810e343ab170dc00ecff159fd2c1b753acc94a3094bb28e13d7cbad1,314ed04e81d8575fc6acffa18d76794c5820bcdafa7ebfe33d8eed9a17310e77,12309b6f38821dec4fceb25e661799a984494309657f42b903b83df1601ff88c
"bgm_M301","102231","bgm_M301","0","102231","75000001","-100","記憶領域第1層","1","0"
"bgm_M248","81002102","bgm_M248_02","0","81002102","75000002","0","記憶領域第2層","1","0"
"bgm_M301","102241","bgm_M301","0","102241","75000003","-100","記憶領域第3層","1","0"
"bgm_M268","81002502","bgm_M268","0","81002502","75000004","0","記憶領域第4層","1","0"
"bgm_M502","102881","bgm_M502","0","102881","75000005","-100","記憶領域第5層","1","0"
"bgm_M397","81004602","bgm_M397","0","81004602","75000006","0","記憶領域第6層","1","0"
"bgm_M503","102871","bgm_M503","0","102871","75000007","-100","記憶領域第7層","1","0"
"bgm_M577","81009002","bgm_M577","0","81009002","75000008","0","記憶領域第8層","1","0"
"bgm_M301","102251","bgm_M301","0","102251","75000009","-100","記憶領域第9層","1","0"
"bgm_M505","102861","bgm_M505","0","102861","75000010","-100","記憶領域第10層","1","0"
"bgm_M621","81010002","bgm_M621","0","81010002","75000011","0","記憶領域第11層","1","0"
"bgm_M504","81000605","bgm_M504","0","81000605","75000012","-100","記憶領域第12層","1","0"
