449988e23c9b7769f8d1aecaf046f5b4c5978e5a7fe8bf1d417c51255cd0dc22,1940cc8242fcba4793d98f70e80eee868e1c1f6fb3eff0f6de740d29eb8820f9,0068b2efe020b6efa8c068df5d208cf83ee7ca9e06356a58a08f90a9d23f33d1,1f89495f074ef936f07415f7ac78ff5380eb642fe9dde600c6a6ae72b7c94581,6b104b73e0024c368dea78b57b8971ac93d0158cf3488ed973cb0ec28b2a3e35,21d180f5287b57b6b4f0939bd6ad3f6875dc1d69642437c6b8e32ca4bb32876c,a886597f1e0ddfd18d6835d24c0b3be6911771351497bae963f888a3a328cc42,f989b28b5e15657d67c31b5f0963b52a5cd11d0af059596d89349618f0ea48b0,fa124999f0b8bcb012b9d764f3127939a9f16084f4c2d68b51f0621aa4ae5638,1c02f50a32fcbffc0e64c1ba879f04eea0277036eaafbfc06bb81c891c2cbb45,40ce5e6e37af9eef02ea6dfb066815f849fe8a6d06db67767de36064baaef1f3,bfe178ed70e0d197c6ef3cc7a96f1bc8376eeb00df08b9507f11741d3ba33e37,6543a053e4aff1c79740c49fd92b5c949125e147617e33b62e4b2f3bf7b7072e,17b9e0d47f9a64d358197584a6ecbc1f8fc1e2e148483d1768fee5f733be9d7d,91b096c22deedb643bda2d7f2ae3e4ced18ed0861e5480010902e56d8bba3e1a
"1","1","凱留","-363","2015/12/17 15:00:00","偶爾參加共鬥\n好像也不錯吼？\n我也助你一臂之力吧。","0","2099/12/17 14:59:59","106001","7","0","1","7001","0","0"
"1","1","可可蘿","-363","2015/12/17 15:00:00","似乎可以和許多人\n協力戰鬥呢。\n要是主人的話，\n想必能夠非常活躍吧。","0","2099/12/17 14:59:59","105901","7","0","1","7002","0","0"
"1","1","貪吃佩可","-363","2015/12/17 15:00:00","和許多人一起\n共同戰鬥！\n一起加油吧☆　","0","2099/12/17 14:59:59","105801","7","0","1","7003","0","0"
"1","1","貪吃佩可","-363","2015/12/17 15:00:00","用寶石可以換食物…\n不對，是換貴重物品啦！","0","2099/12/17 14:59:59","105801","10","0","1","10001","0","0"
"1","1","凱留","-363","2015/12/17 15:00:00","寶石要好好想清楚\n再使用哦！\n別亂花喔！","0","2099/12/17 14:59:59","106001","10","0","1","10002","0","0"
"1","1","可可蘿","-363","2015/12/17 15:00:00","用主人的寶石\n可以買到各種貴重的物品\n雖然如此，浪費還是\n『壞壞』呦。","0","2099/12/17 14:59:59","105901","10","0","1","10003","0","0"
"1","2","雪菲","-363","2015/12/17 15:00:00","只要有寶石\n似乎就能交換貴重物品\n珍惜著使用吧","2104010","2030/12/17 14:59:59","106401","10","0","1","10004","0","0"
"1","1","貪吃佩可","-416.5","2015/12/17 15:00:00","達到特定條件的話\n可以得到報酬喔！\n一起加油吧♪　","0","2099/12/17 14:59:59","105801","12","0","1","12001","0","0"
"1","1","凱留","-363","2015/12/17 15:00:00","雖然經歷了各種事，\n回頭一看，\n感覺卻挺不賴吶？","0","2099/12/17 14:59:59","106001","13","0","1","13001","0","0"
"1","1","可可蘿","-363","2015/12/17 15:00:00","和主人度過的快樂每一天……\n到這裡可以隨意\n想回想幾次就回想幾次♪　","0","2099/12/17 14:59:59","105901","13","0","1","13002","0","0"
