01c3dbff6262b568bd1d0892af400f2e064f180de14ba9aac0fd40e767c64256,e9e6c24b49d7e5aeefcc8ded4cd83d78f04283dd730819b0f85e5e5edb0b1e27,4e52302ab124ee1d06748b72119edfb8ab08a78a084bd49bc18a1b1edc74b096
"10000101","15","2"
"10000201","15","1"
"10000401","25","1"
"10000601","50","3"
"10000801","15","2"
"10000901","15","1"
"10001001","25","3"
"10001101","10","2"
"10001501","25","3"
"10001502","15","1"
"20101001","15","1"
"20103001","50","3"
"20105001","25","2"
"20106001","25","1"
"20107001","25","3"
"20108001","25","2"
"20112001","25","3"
"20112002","50","1"
"20115001","30","1"
"20117001","75","3"
"20119001","50","2"
"20120001","50","1"
"20121001","30","3"
"20122001","50","2"
"20126001","30","3"
"20126002","50","1"
"20129001","50","2"
"20131001","50","1"
"20133001","100","3"
"20135001","50","2"
"20136001","50","1"
"20137001","50","3"
"20138001","50","2"
"20142001","50","3"
"20142002","50","1"
"20145001","100","1"
"20146001","100","3"
"20147001","75","2"
"20150001","200","1"
