6dd2c430fea4d68a95558e18d4544a72035a60d0601b35bb157a28276b581a93,bb1eaea8216c2aa0747eb94591d5bc7f73650ea5d01097e004d79cda19673779,4fd5a3b252cf2ba708f306752e3ff1e8d5c8c18ca4a1a883301a4795d7cd0e4e,36525803e68b4b5d7cda618a13b151255b2081c8e24ebe4b41b4f500a3cd9a8b,4b9ac9cd59159c3f62e25495d4c9005b57ee8a28dcf4c05acfd618c93a39f790
"1","0","1","1001","0"
"2","0","1","1002","0"
"3","0","1","1003","0"
"4","0","1","1004","0"
"1","0","2","2001","0"
"2","0","2","2002","0"
"3","0","2","2003","0"
"4","0","2","2004","0"
"1","0","2","2101","1"
"2","0","2","2102","1"
"3","0","2","2103","1"
"4","0","2","2104","1"
"11","10001","2","2111","2"
"12","10001","2","2112","2"
"13","10001","2","2113","2"
"1","0","3","3001","0"
"2","0","3","3002","0"
"3","0","3","3003","0"
"4","0","3","3004","0"
"1","0","4","4001","0"
"2","0","4","4002","0"
"3","0","4","4003","0"
"4","0","4","4004","0"
"100","0","4","4005","0"
"10101","0","5","5010","1"
"10201","1","5","5020","2"
"10202","2","5","5021","2"
"10301","0","5","5030","3"
"10301","1","5","5031","3"
"10302","0","5","5040","4"
"10303","0","5","5050","5"
"10304","0","5","5060","6"
"90001","0","6","6001","1"
"90001","0","6","6002","2"
"90001","1","6","6003","2"
"90001","0","6","6006","3"
"91101","1","6","6007","3"
"91201","2","6","6008","3"
"91301","3","6","6009","3"
"90001","0","6","6010","4"
"91101","1","6","6011","4"
"91201","2","6","6012","4"
"91301","3","6","6013","4"
"90001","0","6","6014","5"
"91101","1","6","6015","5"
"91201","2","6","6016","5"
"91301","3","6","6017","5"
"90001","0","6","6018","6"
"91101","1","6","6019","6"
"91201","2","6","6020","6"
"91301","3","6","6021","6"
"92001","0","6","6022","7"
"92101","1","6","6023","7"
"92201","2","6","6024","7"
"92301","3","6","6025","7"
"92401","4","6","6026","7"
"92001","0","6","6027","8"
"92101","1","6","6028","8"
"92201","2","6","6029","8"
"92301","3","6","6030","8"
"92401","4","6","6031","8"
"92001","0","6","6032","9"
"92101","1","6","6033","9"
"92201","2","6","6034","9"
"92301","3","6","6035","9"
"92401","4","6","6036","9"
"90001","0","6","6037","10"
"90101","1","6","6038","10"
"90201","2","6","6039","10"
"90301","3","6","6040","10"
"90401","4","6","6041","10"
"90002","0","7","7000","0"
"90002","1","7","7001","0"
"90003","2","7","7002","0"
"90002","1","7","7003","2"
"90003","2","7","7004","2"
"91102","1","7","7005","3"
"91103","2","7","7006","3"
"91102","1","7","7007","4"
"91103","2","7","7008","4"
"91102","1","7","7009","5"
"91103","2","7","7010","5"
"91102","1","7","7011","6"
"91103","2","7","7012","6"
"92102","1","7","7013","7"
"92103","2","7","7014","7"
"92102","1","7","7015","8"
"92103","2","7","7016","8"
"92102","1","7","7017","9"
"92103","2","7","7018","9"
"90102","1","7","7019","10"
"90103","2","7","7020","10"
"20101","0","9","9001","0"
"20201","0","10","10001","0"
"20202","0","10","10002","1"
"10501","0","101","10180","8"
"1","0","100","100001","1"
"1","0","100","100002","2"
"2","0","100","100003","3"
"2","0","100","100004","4"
"2","0","100","100005","5"
"2","0","100","100006","6"
"3","0","100","100007","7"
"3","0","100","100008","8"
"3","0","100","100009","9"
"1","0","100","100010","10"
"10301","0","101","980001","98001"
"10402","2","101","980002","98001"
"10401","1","101","980011","98011"
"10402","2","101","980012","98012"
