942fbe77a9bb925d02520f82f8e7c03308e8fc0c870e3ca700ef57eee8a8f38e,226cdf5ab3a37e80ac2fd47705f0480c5e3cc0857b5d85d1c36716b290da7ff8,733b210d31b50dd6c5342dd8cb27c69eb39a1cb4be689560bdb610f87d142ea3,d5c3e8acee77486a5509c3bb486dd68913d0b6086f77a13bea1419bd55960b5c,50a9e2fad57e8e733f9d6ffe51ada0bf1b52339ef7f3e4536f59dd64700893f7,d3807f7fa705b284bcc4279e7b6c3f1cef7ea37e37998f46635be792e47f0717,a3688b3f484c500ca0d7a679769f543e04b6514c175a241178855e6b49775b4e
"20004","107601","ボスNORMAL討伐で解放！","10","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72004021"
"20005","108001","ボスNORMAL討伐で解放！","12","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72005021"
"20007","108201","ボスNORMAL討伐で解放！","15","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72007021"
"20009","108501","ボスNORMAL討伐で解放！","17","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72009021"
"20010","108901","ボスNORMAL討伐で解放！","19","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72010021"
"20011","109001","ボスNORMAL討伐で解放！","21","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72011021"
"20013","109301","ボスNORMAL討伐で解放！","22","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72013021"
"20015","110101","ボスNORMAL討伐で解放！","23","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72015021"
"20016","110501","ボスNORMAL討伐で解放！","24","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72016021"
"20018","111201","ボスNORMAL討伐で解放！","25","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72018021"
"20020","111601","ボスNORMAL討伐で解放！","26","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72020021"
"20021","112101","ボスNORMAL討伐で解放！","27","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72021021"
"20022","112301","ボスNORMAL討伐で解放！","28","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72022021"
