d5c3e8acee77486a5509c3bb486dd68913d0b6086f77a13bea1419bd55960b5c,d3807f7fa705b284bcc4279e7b6c3f1cef7ea37e37998f46635be792e47f0717,942fbe77a9bb925d02520f82f8e7c03308e8fc0c870e3ca700ef57eee8a8f38e,50a9e2fad57e8e733f9d6ffe51ada0bf1b52339ef7f3e4536f59dd64700893f7,226cdf5ab3a37e80ac2fd47705f0480c5e3cc0857b5d85d1c36716b290da7ff8,a3688b3f484c500ca0d7a679769f543e04b6514c175a241178855e6b49775b4e,733b210d31b50dd6c5342dd8cb27c69eb39a1cb4be689560bdb610f87d142ea3
"10","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20004","[3C404E]ボスNORMAL討伐で解放！","107601","72004021","ボスNORMAL討伐で解放！"
"12","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20005","[3C404E]ボスNORMAL討伐で解放！","108001","72005021","ボスNORMAL討伐で解放！"
"15","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20007","[3C404E]ボスNORMAL討伐で解放！","108201","72007021","ボスNORMAL討伐で解放！"
"17","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20009","[3C404E]ボスNORMAL討伐で解放！","108501","72009021","ボスNORMAL討伐で解放！"
"19","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20010","[3C404E]ボスNORMAL討伐で解放！","108901","72010021","ボスNORMAL討伐で解放！"
"21","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20011","[3C404E]ボスNORMAL討伐で解放！","109001","72011021","ボスNORMAL討伐で解放！"
"22","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20013","[3C404E]ボスNORMAL討伐で解放！","109301","72013021","ボスNORMAL討伐で解放！"
"23","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20015","[3C404E]ボスNORMAL討伐で解放！","110101","72015021","ボスNORMAL討伐で解放！"
"24","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20016","[3C404E]ボスNORMAL討伐で解放！","110501","72016021","ボスNORMAL討伐で解放！"
"25","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20018","[3C404E]ボスNORMAL討伐で解放！","111201","72018021","ボスNORMAL討伐で解放！"
