5602d53fda6012bdaa7234384f620093a9fdcba4248d3ab9dc3da3a4801afa26,f3a34ffe9dff043f528f34cacdc71a82c067288411bc84684c60b4461daeeff7,d912c6e87db6cdcb34944591751c0431bf941d6290ca2a1d437142d6297b1c2d,8ec0adb51cdc6844f4ad25b33908bfd315d8fc76e37f4a274ba95d7ac14dd86c
"2019/2/15 5:00:00","2019/3/1 4:59:59","1st Anniversary スペシャルログインボーナス","10000"
"2019/4/27 5:00:00","2019/5/7 4:59:59","GW スペシャルログインボーナス","10001"
"2019/8/15 5:00:00","2019/9/1 4:59:59","1.5Year Anniversary スペシャルログインボーナス","10002"
"2020/2/15 5:00:00","2020/3/1 4:59:59","2nd Anniversary スペシャルログインボーナス","10003"
"2020/8/15 5:00:00","2020/9/1 4:59:59","2.5 Year Anniversary スペシャルログインボーナス","10004"
"2021/2/15 5:00:00","2021/3/1 4:59:59","3rd Anniversary スペシャルログインボーナス","10005"
"2021/8/15 5:00:00","2021/9/1 4:59:59","3.5 Year Anniversary スペシャルログインボーナス","10006"
"2022/2/15 5:00:00","2022/3/1 4:59:59","4th Anniversary スペシャルログインボーナス","10007"
"2022/8/15 5:00:00","2022/9/1 4:59:59","4.5 Year Anniversary スペシャルログインボーナス","10008"
"2023/2/15 5:00:00","2023/3/1 4:59:59","5th Anniversary スペシャルログインボーナス","10009"
"2023/8/15 5:00:00","2023/9/1 4:59:59","5.5 Year Anniversary スペシャルログインボーナス","10010"
"2024/2/15 5:00:00","2024/3/1 4:59:59","6th Anniversary スペシャルログインボーナス","10011"
