bad55ebff4498bb8f953f3c7e9b204099673fba5f08c62577e3d8ade4f21bdbf,1a05dc18d357c19972ffdab58b40ef2ba7b44fb10d087dfbbf1f01c1c6c3711d,44ad93900eefb73390e013a51b066b399a7837b1334e916b3212aee7b44dcbcb,3b210b2e2a12df99dfb0b525a0eef68eae4c867e387f28d1fe201037601b7d36,3cd63f809c9423c18185613551e33c3912865b28b8db4f8abe959baa4acb086a,7bac1b4df0090a2a8564e8ae1cf41ad3f5f165f10d3a5a5669311b88410398ee,b06dedac068f3d87ce211a48040f4ffd93a3e810bef04a8ae7d38c98b81f9a89,067341465c3fd8dbd2fb1d94e8bc223272f4268f2a87fde7efde39b58b54b6a0,ef9cf761b2926f99f3636fc83534543a3106ffc5c2a853ee07cc1eed5889ee72,9300141846e58391402e2e2707929a8d97ee79267fd0b2ffed08093679b0d698
"3","15","-1","","22","53003","2","10001","2","8"
"3","1","14","","22","53003","1","10002","1","5"
"3","0","0","ワカナの施し","23","52019","0","10003","0","2"
"4","15","-1","","22","53003","2","10004","2","8"
"4","1","14","","22","53003","1","10005","1","5"
"4","0","0","ワカナの施し","23","52019","0","10006","0","2"
"5","15","-1","","22","53003","2","10007","2","8"
"5","1","14","","22","53003","1","10008","1","5"
"5","0","0","ワカナの施し","23","52019","0","10009","0","2"
"6","15","-1","","22","53003","2","10010","2","8"
"6","1","14","","22","53003","1","10011","1","5"
"6","0","0","ワカナの施し","23","52019","0","10012","0","2"
"7","15","-1","","22","53003","2","10013","2","8"
"7","1","14","","22","53003","1","10014","1","5"
"7","0","0","ワカナの施し","23","52019","0","10015","0","2"
