f8ff3927989ef7926930fc729f27432e9988227fd4ba15223fa7d11a2fb64cc8,74fc2708d3a722b6a681cda648acbdd966dc47410b9ae60e1db12ed92fc761aa,f2d22b922d0173a6c6d703475d14f9fe7967e92e64fa02efec8e51c0088dbed3,0fcd06eda033a581d95fc7550dc6521eee2e86a310c5347e7a5844a8f6d4f229,822f18838a3ea5c8b99c7b0e44908e6b831c9ea937833de30afb298e98fd5b6e,0e96210eca852a5748a9af99190da8ee6f4f0ba9fb934df41115629673bc1017,ccc16029e0eeae8eafa4447cf24bb768f940119cdcece9ad1577a6288918e644,478c62bfa6188e9e52984aee8bf8e25c8445b62d878986c1e391f922f395d713,0cc5ebea5666299e423d8401f7ccc636636e12263b5b26dae7511f90788a23d4,81aa33dd6552afc5727c9f0eb48def7fa20a6f61c312ec6a50d0fd8b12d631d9,a61d0029c3cd8bea9452237fc854b1fba989fea6bb839a47e45984fa7c82b227,028fae5b7abf033dac5dedc31e9ca44e87e9df85cc77be904e01d5250d8eed66
"0","0.05","0","34","0","0","0.025","315","26","1","0","30"
"0","0.05","0","33","0","0","0.025","306","25","2","0","29"
"0","0.05","0","32","0","0","0.025","297","24","3","0","28"
"0","0.05","0","31","0","0","0.025","288","23","4","0","27"
"0","0.05","0","30","0","0","0.025","279","22","5","0","26"
"0","0.05","0","29","0","0","0.025","270","21","6","0","25"
"0","0.05","0","28","0","0","0.025","261","20","7","0","24"
"0","0.05","0","27","0","0","0.025","252","19","8","0","23"
"0","0.05","0","26","0","0","0.025","243","18","9","0","22"
"0","0.05","0","25","0","0","0.025","234","17","10","0","21"
"0","0.05","0","24","0","0","0.025","225","16","11","0","20"
"0","0.05","0","23","0","0","0.025","216","15","12","0","19"
"0","0.05","0","22","0","0","0.025","207","14","13","0","18"
"0","0.05","0","21","0","0","0.025","198","13","14","0","17"
"0","0.05","0","20","0","0","0.025","189","12","15","0","16"
"0","0.05","0","19","0","0","0.025","180","11","16","0","15"
"0","0.05","0","18","0","0","0.025","171","10","17","0","14"
"0","0.05","0","17","0","0","0.025","161","9","18","0","13"
"0","0.05","0","16","0","0","0.025","152","8","19","0","12"
"0","0.05","0","15","0","0","0.025","143","7","20","0","11"
"0","0.05","0","14","0","0","0.025","134","6","21","0","10"
"0","0.05","0","13","0","0","0.025","125","5","22","0","9"
"0","0.05","0","12","0","0","0.025","116","4","23","0","8"
"0","0.05","0","11","0","0","0.025","107","3","24","0","7"
"0","0.05","0","10","0","0","0.025","101","2","25","0","6"
"0","0","0","0","0","0","0","1","0","26","0","0"
