3fb2b600b34d57756bbe2431c3f9610fe177b38add738f9d21e33458fc375e3c,94e7ce97a97d124eed26c9734e2cb23429a13f899998162084452fc73cd04f56,58e6857128dfa113947b6844787009bffe1fa5bd91d2517276f18c4203cdb3a1
"118301","180701","20114"
"118301","180701","20115"
"118401","180701","20116"
"118401","180701","20117"
"118401","180701","20118"
"120501","180801","20123"
"120401","180801","20124"
"120601","180801","20125"
"120401","180801","20126"
"120501","180801","20127"
"120601","180801","20128"
"120601","180801","30157"
"121801","180901","20129"
"121801","180901","20130"
"121701","180901","20131"
"121801","180901","20132"
"121701","180901","20133"
"121701","180901","20134"
"121701","180901","20135"
"124301","181001","20148"
"124301","181001","20149"
"124401","181001","20150"
"124401","181001","20151"
"128101","181101","20167"
"128101","181101","20168"
"128101","181101","20169"
"128101","181101","20170"
"128201","181101","20171"
"128201","181101","20172"
"128101","181101","20175"
