bfa3c33633522fd465be38c65dc7a72d78ebdf70daba339db53e0a51571e4852,987831ffb5e81a77f30a872d29ae085edab5d9e63d145e478e987ac0bf3adf79,cdf7e1fdc29d470fa42603af3e8f3c0f985502c32716162bf70ee6b17c9f39f0,a3fdee8b2f4d9f988e84f5c5c1a7fab37b0cc81984ef4aaf00d70bfe0faa4da4,a447d60b7e856471b15093f2879d8ef6031f46f0d5036b80c2c386e1c5f2e10b,046d26206c34f54f8575817a378d5a0953628cfc7510a652324d50676efbb4a8,790dacdcb07609808958cef736869d7968b48d3d041c6d1b81d8076c6da373bf
"10101","1","3","ツムギのフィギュア","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.478515625","0.3046875"
"10102","1","3","ノゾミのフィギュア","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.490234375","0.365234375"
"10103","1","3","チカのフィギュア","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.478515625","0.291015625"
"10201","2","3","ツムギ直筆サイン色紙","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","0.440625"
"10202","2","3","ノゾミ直筆サイン色紙","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","0.440625"
"10203","2","3","チカ直筆サイン色紙","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","0.440625"
"10301","3","3","ツムギのメモリアルピンバッジ","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","1.40625"
"10302","3","3","ノゾミのメモリアルピンバッジ","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","1.40625"
"10303","3","3","チカのメモリアルピンバッジ","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","1.40625"
"10304","3","3","カルミナメモリアルピンバッジ","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","1.40625","1.40625"
