63553e8d19189eb6996f3bc86ad7480ed515b7424f45596c8055fde3cd355eeb,316ca043546ad7284de9ebf9172b9f6eb9787b08c3c188aa734c936bc9e8611a,ccf12dc6c797f01abd0becb80e4e202d556dd4fc3fd24013deaf172081065bda
"138401","2","135801"
"138401","3","135801"
"138401","4","135801"
"138401","5","135801"
"138401","6","135801"
"138401","7","135801"
"138401","8","135801"
"138501","2","136001"
"138501","3","136001"
"138501","4","136001"
"138501","5","136001"
"138501","6","136001"
"138501","7","136001"
"138501","8","136001"
"118401","2","180701"
"118301","3","180701"
"118401","4","180701"
"118401","5","180701"
"118301","6","180701"
"118401","7","180701"
"118301","8","180701"
"170101","9","105701"
"170101","10","105701"
"170101","11","105701"
"170101","12","105701"
"120401","2","180801"
"120501","3","180801"
"120601","4","180801"
"120501","5","180801"
"120601","6","180801"
"120501","7","180801"
"120401","8","180801"
"121701","2","180901"
"121801","3","180901"
"121701","4","180901"
"121801","5","180901"
"121701","6","180901"
"121801","7","180901"
"121801","8","180901"
"124401","2","181001"
"124301","3","181001"
"124401","4","181001"
"124401","5","181001"
"124301","6","181001"
"124401","7","181001"
"124301","8","181001"
"128201","2","181101"
"128101","3","181101"
"128201","4","181101"
"128201","5","181101"
"128101","6","181101"
"128201","7","181101"
"128101","8","181101"
