ae01bf9c477c23b36b4accd3a59de2e13a82a9bb936881a35098cea2fa7d23e2,5e6fe952cfaaa65f335a7f5e670860cd266aa0c62bb7845699ac7ab4f10f092a,0d7acb10888bdfe2f2178cbe7b6fbe08196b6cb4ebe425dd05e9de4b2d7a0551,af44207b6a9060640794e2bcb3fccc61f68c412c658eab869f8c1a2c837a37ae,7fd0eb748fa6e35141d4fac30c05d3a058bb1bf485b3d773ead2b16cdf95b44e
"2","1","1","10201","3"
"2","2","2","10202","3"
"2","3","3","10203","3"
"2","4","4","10301","10"
"2","5","5","10302","10"
"2","6","6","10303","10"
"2","7","7","10304","10"
"2","8","8","10401","20"
"2","9","9","10402","20"
"2","10","10","10403","20"
"2","11","11","10404","20"
"2","12","12","10405","20"
"2","13","13","10406","20"
"2","14","14","10407","20"
"2","15","15","10408","20"
"2","16","16","10409","20"
"1","17","1","10701","3"
"1","18","2","10601","3"
"1","19","3","10602","3"
"1","20","4","10603","3"
"1","21","5","10604","3"
"1","22","6","11301","10"
"1","23","7","11302","10"
"1","24","8","11303","10"
"1","25","9","11401","20"
"1","26","10","11402","20"
"1","27","11","11403","20"
"1","28","12","11601","20"
"1","29","13","11602","20"
"1","30","14","11603","20"
"1","31","15","11604","20"
"1","32","16","11605","20"
"1","33","17","11606","20"
"1","34","18","11101","20"
"1","35","19","11102","20"
"1","36","20","11103","20"
"1","37","21","11701","20"
"1","38","22","11702","20"
"1","39","23","11703","20"
"3","40","1","10501","3"
"3","41","2","10502","3"
"3","42","3","10503","3"
"3","43","4","11201","10"
"3","44","5","10801","10"
"3","45","6","10802","10"
"3","46","7","10803","10"
"3","47","8","10804","10"
"3","48","9","10901","20"
"3","49","10","10902","20"
"3","50","11","10903","20"
"3","51","12","10904","20"
"3","52","13","11001","20"
"3","53","14","11002","20"
"3","54","15","11003","20"
"3","55","16","11501","20"
"3","56","17","11502","20"
"3","57","18","11503","20"
"3","58","19","11504","20"
"3","59","20","11505","20"
"3","60","21","11506","20"
