f752a752fdd4a15d82acbe24666e7c5ed7c86a67e82a9e6752c0b361f822e8b1,c4a3b9fee68fcf987b7daee927aeaf38ea5ff63c0d8e96d272ca69e64c226198,3ba4f040cac9f0629022f56b918c98ad272dacf5c542627bf3b2ef68c985d2ff,062962addffe1f83dbb96b454582515ff7eb7f453058eb401e6a02031712b774,b690924d55ab3dde3f5ec0121cc5385f71718582504608a9a4fa1d5209f2ee04,d0b6e48ae75eb2307e371c339cf383f062a32f6119423900099e2a6ca6944735,d67c21d65be81a43230fabcf86d9c9b9334f74d840685a1d197f7facca907c97,998131f31e9ef70bbbad47a28a2efad04a18c94aa91bc91df1ff9f85a2ab711f
"1","0","0","10012","0","10012103","0","1001201"
"2","0","0","10012","0","10012107","0","1001202"
"3","0","0","10012","0","10012109","0","1001203"
"4","0","0","10012","1001201","10012114","0","1001204"
"5","0","0","10012","1001202","10012114","0","1001204"
"6","0","0","10012","1001203","10012114","0","1001204"
"7","0","0","20012","0","20012103","0","2001201"
"8","0","0","20012","0","20012107","0","2001202"
"9","0","0","20012","0","20012109","0","2001203"
"10","0","0","20012","2001201","20012114","0","2001204"
"11","0","0","20012","2001202","20012114","0","2001204"
"12","0","0","20012","2001203","20012114","0","2001204"
