5b3bbaf6cd75dfedf48e9e5869b3f7a54b7eb3327a28d48e454813102e79a40f,093a76f2059e9980d8908c94339d45d099b072d61c290a6913a5b69b985b9089,180153e7f211646312753ffca38cb53efa812d7ae91b59a6deae0a364bea3a00,3983f4b0ac80bdcf372ef1113c43da5e476ffa146287a3c23ee55a57182b72ae,b2a3443cbb418239767450351dcd1445a418eaac7f38b7093416122a301a99f3,a8f8d54cc1b4bbbfb9b5e35eee0d31ca092875d7f7dce7bb5749c5e11fc96ea3,b04748449e4f66827b65943d5e188a4b7edddf5bcbb54908ede44c6cd68cb47e,9595d8087a76ec89c06ac77d6c62c1204781196104a4eeab69c5486ef9225749,0591f26117c12847fcfa70c6c1a74ff7c52d0020cc1150d5e317d0d916c2c3c8,de67ce189ea9c9bfd1545cf35788a55b54398ffe060a8a0ceb42500651fdc662,2364ea4757a57e0cfbab2e3064f05064381725afab85d423e01d481e59fe9b0b,5ce6cbc973c42d5136115ecc5567b9baeff1a4081d7f79562c9f9dc5dc957227,fcd3e50d7ce71714078c5fc0ab7d2105d3f0d0eabce00c64b34b6ca27e363f67,bed9237730c4a94216726d87eecf08cc115ae78b2f3ae816d12991d9830c2491
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","1","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","2","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","3","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","0","0","4","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","5","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","6","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","7","180"
"-1","-1","-1","0","19","180","1","-1","-1","-1","1","0","8","180"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","9","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","10","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","0","0","11","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","12","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","13","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","14","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","15","215"
"-1","-1","-1","0","23","215","1","-1","-1","-1","1","0","16","215"
"-1","-1","-1","0","26","250","1","-1","-1","-1","1","0","17","250"
"-1","-1","-1","0","26","250","1","-1","-1","-1","0","0","18","250"
"-1","-1","-1","0","26","250","1","-1","-1","-1","1","0","20","250"
"-1","-1","-1","0","26","250","1","-1","-1","-1","1","0","21","250"
"-1","-1","-1","0","26","250","1","-1","-1","-1","1","0","22","250"
"-1","-1","-1","0","28","260","1","-1","-1","-1","0","0","23","260"
"-1","-1","-1","0","26","250","1","-1","-1","-1","1","0","24","250"
"-1","-1","-1","0","26","250","1","-1","-1","-1","1","0","25","250"
"-1","-1","-1","0","29","280","1","-1","-1","-1","0","0","26","280"
"-1","-1","-1","0","29","280","1","-1","-1","-1","1","0","27","280"
"-1","-1","-1","0","29","280","1","-1","-1","-1","1","0","28","280"
