adff1922a423af7522eabf66ae6594d9b3d795a5a30fb810d0d4a19f90a453b8,5b85e496121b9a820854dd18ed3f403ef429e504ecc4a574eb5e1991df3cdf77,188a199accd087c619c9edee3371a4b893835c8fb827151af6f7a309d71476a3,a8a6a0f838187a42ace44369fe26fe62cbb483a10d7075fb06fcc52c9a397d0b,b6bd77cd6f891b2da6fc4d826540cca5cc4bde7eb749240b74e7ee8242f66fae,a63baef16d2424e8e538bd370e02b6064abeced97a48f70fe095d9942e9cbbff,7f6e9cb2b3ce7edf42a5b93097808e911928cc06b2467bc443c85727d2eb9151,5f96dc39b6ad5b22c3fc057e7bd20d633fd2aa68b5b810a2a42c5ac6a20dd9c4,167230496a89018a7c244c1c1410567988651e399df4d8f6898791cf32726517,d3252bd457231095bb73f594240dfd8dc447e61568a183789969a59c21460586
"調子が上がって\nきたなっ","2","vo_minigame_1013_icon_2_002_001","2","3000","1000","2","1","訓練はまだ\nここからですわ","vo_minigame_1013_icon_1_002_001"
"ほらほら、\nまだいけるだろ？","2","vo_minigame_1013_icon_2_003_001","2","3000","5000","2","2","クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_1_003_001"
"へへっ、おまえら\nやるじゃねえか！","3","vo_minigame_1013_icon_2_004_001","2","3000","10000","2","3","すばらしい\n記録ですわ","vo_minigame_1013_icon_1_004_001"
"あたしたちはまだ\n止まらねえぜ！","3","vo_minigame_1013_icon_2_005_001","3","3000","10000","2","4","乗りに乗って\nいますわね","vo_minigame_1013_icon_1_005_001"
"見てろよ！\nマコト班の快進撃だ！","3","vo_minigame_1013_icon_2_005_002","3","3000","10000","2","5","まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_1_005_002"
"うおぉぉっ！\n絶好調だぜ！","3","vo_minigame_1013_icon_2_005_003","3","3000","10000","2","6","エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_1_005_003"
"どこまで行けるか\n楽しみだなっ！","3","vo_minigame_1013_icon_2_006_001","4","3000","0","2","7","ここからは\n前人未到の領域です！","vo_minigame_1013_icon_1_006_001"
"まだ諦めんなよっ","4","vo_minigame_1013_icon_2_007_001","5","1000","1","3","8","厄介でしたわ…","vo_minigame_1013_icon_1_007_001"
"冷やっとしたぜ…！","4","vo_minigame_1013_icon_2_007_002","5","1000","1","3","9","油断大敵です","vo_minigame_1013_icon_1_007_002"
"弱音を吐くなっ","4","vo_minigame_1013_icon_2_007_003","5","1000","1","3","10","忌々しいっ…","vo_minigame_1013_icon_1_007_003"
"マコト班集合！","3","vo_minigame_1013_icon_2_008_001","6","1500","99","4","11","大所帯ですわね","vo_minigame_1013_icon_1_008_001"
"連携してくぞ！","3","vo_minigame_1013_icon_2_008_002","6","1500","99","4","12","エリコ班へようこそ","vo_minigame_1013_icon_1_008_002"
"みんなに力を！","6","vo_minigame_1013_icon_2_020_001","8","3000","0","1","13","ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_1_020_001"
"任せてくれたまえ","7","vo_minigame_1013_icon_2_022_001","9","3000","0","1","14","はっはっは！\n任せろ！","vo_minigame_1013_icon_1_022_001"
"ほな、いきまひょか","8","vo_minigame_1013_icon_2_023_001","10","3000","0","1","15","どんどんいくわよ","vo_minigame_1013_icon_1_023_001"
