f6e67c3aad9003c4e4f2f94bb916f70897a0e8744ee7ac60594ad005a2fa2e9f,aa121a5660c94fe3220c1ddbca98bc212ee54dcc5dcc90b03867116d1b5efaef,c71ad0201666c36c6150d1ac110f3c1e0411afb3227956804f34ab98070c7447,879c7ea3384048891de1a7d6f2d2969142522c2c6abf3be39e94ae79b534b558,8773006f34c4b5cf909e349fd439257a1f386e26faf2c08d6a45d3780cb72290,ecde2229d89e4ccfbffa0602ac2e33e36b166cbb4d8e256aa06cfcc0fc6c35fd
"1","150","10","0","150","1"
"1","250","10","0","400","2"
"1","400","10","0","800","3"
"2","150","20","0","150","1"
"2","250","20","0","400","2"
"2","400","20","0","800","3"
"2","500","20","1","1300","4"
"3","800","30","0","800","1"
"3","1000","30","0","1800","2"
"3","1200","30","0","3000","3"
"3","1400","30","1","4400","4"
"3","1600","30","2","6000","5"
"4","800","40","0","800","1"
"4","1000","40","0","1800","2"
"4","1200","40","0","3000","3"
"4","1400","40","1","4400","4"
"4","1600","40","2","6000","5"
"5","0","0","0","0","0"
