8773006f34c4b5cf909e349fd439257a1f386e26faf2c08d6a45d3780cb72290,ecde2229d89e4ccfbffa0602ac2e33e36b166cbb4d8e256aa06cfcc0fc6c35fd,c71ad0201666c36c6150d1ac110f3c1e0411afb3227956804f34ab98070c7447,f6e67c3aad9003c4e4f2f94bb916f70897a0e8744ee7ac60594ad005a2fa2e9f,aa121a5660c94fe3220c1ddbca98bc212ee54dcc5dcc90b03867116d1b5efaef,879c7ea3384048891de1a7d6f2d2969142522c2c6abf3be39e94ae79b534b558
"150","1","10","1","150","0"
"400","2","10","1","250","0"
"800","3","10","1","400","0"
"150","1","20","2","150","0"
"400","2","20","2","250","0"
"800","3","20","2","400","0"
"1300","4","20","2","500","1"
"800","1","30","3","800","0"
"1800","2","30","3","1000","0"
"3000","3","30","3","1200","0"
"4400","4","30","3","1400","1"
"6000","5","30","3","1600","2"
"800","1","40","4","800","0"
"1800","2","40","4","1000","0"
"3000","3","40","4","1200","0"
"4400","4","40","4","1400","1"
"6000","5","40","4","1600","2"
"0","0","0","5","0","0"
