9a26f6200f8a01e3d08e7a9e8f3a7ef4df4671cc842f2fd5259fd98a03e2a1f8,55fdd5aa52b88ccecfb5d6d1b86de25f8902e712203a2bbf0ca9c5a350dbb3e7,b1b36175b0a5c195681d169bfb2aea087411b70c9344d150a952f3b258cfe147,198b6034b832c001509e73fe770751a24c5674f8f8b97185f5fa468225876523,4b0899b05e5235c079f0bbde73ac14a5610372e5bedd769cf4e794b00438b0e1,6d9391135e8c303c2e714e9f82801070a161c92731128eec7870f9c20a9c3fd9,8655c2cc7e73dda4353b0fc23fdbd6b76906f6888934aaa1a8f228b16981218f,6b09b59caa09865d5f69de2d78aec826a84e8e40ca4c4214c5efa9ec03ca1f90,5b01f1dab864bcf4dc074d0d15f29a65cd819517054eacd6a6e74d77e4533741,20f8dc04d28d0049d60bff1cca41d3850e0e0225fa30fd1a2e1abac6ceaec721,979b568cac1296ab009ed944831560bbe5e091624d23f3728aebc35f206c204d,7e6f8c6dccea47803be73f656e97883686094d4291773fbc15e544910097aea5,2bdb78d263e2b87be8c336d8e3a4b5d20b3350438be5f8729617d572d075dff1
"1","","31001_01","","","","","","","3100101","29","",""
"30","","31001_03","","","","","","","3100101","59","",""
"60","","31001_05","","","","","","","3100101","-1","",""
"1","","31001_01","31001_01","","","","","","3100102","29","",""
"30","","31001_03","31001_03","","","","","","3100102","59","",""
"60","","31001_05","31001_05","","","","","","3100102","-1","",""
"1","31001_01","31001_01","31001_01","","","","","","3100103","29","",""
"30","31001_03","31001_03","31001_03","","","","","","3100103","59","",""
"60","31001_05","31001_05","31001_05","","","","","","3100103","-1","",""
"1","31001_01","31001_01","31001_01","31001_01","","","","","3100104","29","",""
"30","31001_03","31001_03","31001_03","31001_03","","","","","3100104","59","",""
"60","31001_05","31001_05","31001_05","31001_05","","","","","3100104","-1","",""
"1","","61003_01","61003_02","","","","","","3100201","29","",""
"30","","61003_03","61003_04","","","","","","3100201","49","",""
"50","","61003_05","61003_06","","","","","","3100201","79","",""
"80","","61003_07","61003_08","","","","","","3100201","99","",""
"100","","61003_09","61003_10","","","","","","3100201","109","",""
"110","","61003_11","61003_12","","","","","","3100201","119","",""
"120","","61003_13","61003_14","","","","","","3100201","129","",""
"130","","61003_15","61003_16","","","","","","3100201","139","",""
"140","","61003_17","61003_18","","","","","","3100201","149","",""
"150","","61003_19","61003_20","","","","","","3100201","159","",""
"160","","61003_21","61003_22","","","","","","3100201","169","",""
"170","","61003_23","61003_24","","","","","","3100201","179","",""
"180","","61003_25","61003_26","","","","","","3100201","189","",""
"190","","61003_27","61003_28","","","","","","3100201","199","",""
"200","","61003_29","61003_30","","","","","","3100201","209","",""
"210","","61003_31","61003_32","","","","","","3100201","219","",""
"220","","61003_33","61003_34","","","","","","3100201","229","",""
"230","","61003_35","61003_36","","","","","","3100201","239","",""
"240","","61003_37","61003_38","","","","","","3100201","249","",""
"250","","61003_39","61003_40","","","","","","3100201","259","",""
"260","","61003_41","61003_42","","","","","","3100201","269","",""
"270","","61003_43","61003_44","","","","","","3100201","279","",""
"280","","61003_45","61003_46","","","","","","3100201","289","",""
"290","","61003_47","61003_48","","","","","","3100201","299","",""
"300","","61003_49","61003_50","","","","","","3100201","309","",""
"310","","61003_51","61003_52","","","","","","3100201","-1","",""
