ecd499e0f59b22c1dce43fc2985577fb387805e51e591d0e51e8430ec7ae5013,0032066c4c53a5f2f33e2de3a5268aaf891b7c6610e6e5d4ef8f8d3b18c4c3d0,1bdfb4ae67a4aeddd03013450bcbb3efa408cfa1ed12b3b4feb27bed69df0a6f,fc7822d1a3a2e2dd836c2fc5fae22868b844c80ff2c43bf1f522080ea41d8aa7
"スロウ","1","8","1"
"ヘイスト","2","8","2"
"麻痺","3","8","3"
"凍結","4","8","4"
"束縛","5","8","5"
"睡眠","6","8","6"
"スタン","7","8","7"
"石化","8","8","8"
"拘留","9","8","9"
"拘留(ダメージ)","10","9","0"
"毒","11","9","1"
"火傷","12","9","2"
"呪い","13","9","3"
"魅了","14","11","0"
"暗闇","15","12","-1"
"沈黙","16","13","-1"
"即死","17","30","-1"
"ノックバック","18","3","-1"
"混乱","19","11","1"
"猛毒","20","9","4"
"千里眼","21","56","-1"
"回復阻害","22","59","-1"
"恐慌","23","61","-1"
"刻印付与","24","60","-1"
"畏怖","25","62","-1"
"トナカイ化","26","69","-1"
"気絶","27","8","10"
"呪詛","28","9","5"
"ＨＰ変化","29","70","-1"
"時間停止","30","8","11"
"ＨＰ回復量減少","31","76","-1"
"弱体被ダメージ上昇","32","78","-1"
"行動時毒ダメージ","33","79","1"
"スタン（別枠）","34","8","14"
"毒（別枠）","35","9","7"
"呪い（別枠）","36","9","8"
"混乱（別枠）","37","11","2"
"結晶化","38","8","13"
"スロウ(加算可能)","39","83","1"
"ヘイスト(加算可能)","40","83","2"
"バフ消去","41","49","3"
"バリア消去","42","49","10"
"黒炎","43","9","9"
"ヘイストフィールド","44","99","2"
"スロウフィールド","45","99","1"
"バフ消去（指定）","46","49","20"
"殴り刻印（攻撃ヒット）","47","101","5"
"行動時界雷ダメージ","48","79","10"
"状態異常時間延長","49","112","9"
"執着状態","50","116","1"
"アラクネ拘束","51","117","15"
"操糸","52","11","3"
