5362f4bb1ac8c5609a6d8c135736add7233d42402a72c3612ca5ec2221671835,255136900d160b4ebbb387c48626073f882c4b3a8ba1c50d260d0da7d787f883,a9de6788fe621ed0d4ee542a3bbced05e87af2d38d1deffa58a923d245b5ec5a,4c97144d48b128e3895cfa7753526096dcbabe99042b1365e55e0f5812439dab,9ff852e9b351e4f84e8308faf7a68420e6c578155f85afd1e4ac2d25335b62ab,b32803c758bd77ac7697e8c0176123b33fef0a399f46d94b18ff7bfe8abfe3fd,7ae6a3871c8c0477e5875395b3ab76bc2c112ffc87f03484253eaeabb5cefab4,90b59e9b7722c4ae0bc3d245e8ab1062d782b044c07029154f33017cafb65a26,5b63a25a168fc18fa534145c0640dc60e8bf5eb8a86835dbfab35b3607d8c414,a17ab23d35198a4442912d203006f504922f4a51e44f5dddd72a0d084f1e5bd5,5a72a51d6f96bdd1d9adf0881e4ea3f392514bda6d704806dacb9031812e1584,720fac66ec8c46e4c85399a8ea81fb0bc79ce375330344f7de5dacfde02f9b5e,3ea36bd6627ef08547a59dfb58a2b272cbbe228c02ad2db5aa1e3b7954a0644d,8873d4109e38bd5cfdcebe313af20375e575a349b1eabaae4ab6da4beb109368,13531ea19fdca41a886f59be6204d4bbb42666abe0e7308260119a70c02254eb,3136e6cfa1fc5a0d2b5c0e0a934776c92d8268f7201d47895248461c3cdfaeb2,eb5be75a863bc0be21967287f3766140311088919a8908c2014d9ef8b51c8e56,aee10a6cc1e874080f9ffa58c11ee681f5d376f6cdce816db32dfd2cc1760331,348d993643f9731f27f7c7109e91f55a498abf35f1e0d30269eaa800c5d4ba07
"2","500000","25202","0","0","0","invasion_reward_icon_connectpiece_1","2","40","25201","0","0","30","1001","1","0","0","0","0"
"2","1000000","25204","0","0","0","invasion_reward_icon_connectpiece_2","2","40","25203","0","0","15","1001","2","0","0","0","0"
"2","2000000","25206","0","0","0","invasion_reward_icon_connectpiece_3","2","40","25205","0","0","5","1001","3","0","0","0","0"
"4","3000000","91002","0","0","0","invasion_reward_icon_jewel","8","50","150001","0","0","50","1001","4","0","0","0","0"
"2","4000000","25202","0","0","0","invasion_reward_icon_connectpiece_1","2","40","25201","0","0","30","1001","5","0","0","0","0"
"2","7000000","25204","0","0","0","invasion_reward_icon_connectpiece_2","2","40","25203","0","0","15","1001","6","0","0","0","0"
"2","10000000","25206","0","0","0","invasion_reward_icon_connectpiece_3","2","40","25205","0","0","5","1001","7","0","0","0","0"
"4","13000000","91002","0","0","0","invasion_reward_icon_jewel","8","50","150001","0","0","50","1001","8","0","0","0","0"
"2","16000000","25202","0","0","0","invasion_reward_icon_connectpiece_1","2","40","25201","0","0","30","1001","9","0","0","0","0"
"2","19000000","25204","0","0","0","invasion_reward_icon_connectpiece_2","2","40","25203","0","0","15","1001","10","0","0","0","0"
"2","25000000","25206","0","0","0","invasion_reward_icon_connectpiece_3","2","40","25205","0","0","5","1001","11","0","0","0","0"
"4","31000000","91002","0","0","0","invasion_reward_icon_jewel","8","50","150002","0","0","100","1001","12","0","0","0","0"
"2","37000000","25202","0","0","0","invasion_reward_icon_connectpiece_1","2","40","25201","0","0","30","1001","13","0","0","0","0"
"2","43000000","25204","0","0","0","invasion_reward_icon_connectpiece_2","2","40","25203","0","0","15","1001","14","0","0","0","0"
"2","49000000","25206","0","0","0","invasion_reward_icon_connectpiece_3","2","40","25205","0","0","5","1001","15","0","0","0","0"
"4","56000000","91002","0","0","0","invasion_reward_icon_jewel","8","50","150002","0","0","100","1001","16","0","0","0","0"
"2","63000000","25202","0","0","0","invasion_reward_icon_connectpiece_1","2","40","25201","0","0","30","1001","17","0","0","0","0"
"2","70000000","25204","0","0","0","invasion_reward_icon_connectpiece_2","2","40","25203","0","0","15","1001","18","0","0","0","0"
"2","77000000","25206","0","0","0","invasion_reward_icon_connectpiece_3","2","40","25205","0","0","5","1001","19","0","0","0","0"
"4","84000000","91002","0","0","0","invasion_reward_icon_jewel","8","50","150003","0","0","200","1001","20","0","0","0","0"
"0","92000000","140001","0","0","0","invasion_reward_icon_piece_p_heart","4","0","0","0","0","10","1001","21","0","0","0","0"
"0","100000000","140001","0","0","0","invasion_reward_icon_piece_p_heart","4","0","0","0","0","10","1001","22","0","0","0","0"
"0","108000000","140001","0","0","0","invasion_reward_icon_piece_p_heart","4","0","0","0","0","20","1001","23","0","0","0","0"
"4","116000000","90005","0","0","0","invasion_reward_icon_hiseki","2","20","140001","0","0","10","1001","24","0","0","0","0"
"4","124000000","90005","0","0","0","invasion_reward_icon_hiseki","2","30","140001","0","0","10","1001","25","0","0","0","0"
