c7b824e9535a5a8b0ab8d152447277d192340fc5406a895193610a681886f7e8,9e0f830c1428e0e14bdda62849ddc414d3881cf1b0df06b0a2ead6b051692825,fc9f150dcca1aa23cda44329ca6cfe643f2317c3318d63a74b6ae6e2e2f925ca,ab8f6e6adc01db58a094804876dfd8a37e617fb403aeb972ecca3398fd0c64ee,c04d111daadd7dbe42fe752b84b4971b8a38bd56e8b5956c826726d08942fe3d,0c5b6f1c7aaf39ccaf33ff5fc409146422bd85fe6ce01525fe3a85cc191b2a56,368cf5cdc129a688225ade2b84e30b0386004608659f6805adc978a3e21be64b
"150","250","100","50","200","1","1004"
"240","400","160","80","320","2","1004"
"150","250","100","50","200","3","1004"
"150","250","100","50","200","5","1004"
"240","400","160","80","320","6","1004"
"1","3","1","1","2","12","1004"
"150","250","100","50","200","1","1005"
"150","250","100","50","200","3","1005"
"240","400","160","80","320","4","1005"
"150","250","100","50","200","5","1005"
"240","400","160","80","320","7","1005"
"1","3","1","1","2","13","1005"
