d96e7ca4fe7d72ff1280cbe3f231586665b35f9355ccb1fe616d71041eb1bdd5,2ba7bd45e21cecd0b8091fdbaff685fa6b0915db2b99a2ddd05445f17c5929b3,12411191e2b8246b7f90c7c93fb1ee773a35dd336a27f0b879b4a46509f68f4f,f32a4e6b2b8aa1ee8ef6f5f0c04231b1b2a3ce35b5679da79ced87da145571c6,701ac565582dbabcef18fda311a0aec8ab8ddcc29c0bbe4c59ac4a8201baa37e
"1001001","1","20021103","1","リマのインタビュー"
"1001002","1","20021103","2","キャルのインタビュー"
"1001003","1","20021103","3","タマキのインタビュー"
"1001004","1","20021103","4","トモのインタビュー"
"1002001","1","20021105","5","クリスティーナ・アキノのインタビュー"
"1002002","1","20021105","6","シオリ・キョウカのインタビュー"
"1002003","1","20021105","7","ぺコリーヌのインタビュー"
"1002004","1","20021105","8","モニカのインタビュー"
"1003001","1","20021109","9","アユミのインタビュー"
"1003002","1","20021109","10","リンのインタビュー"
"1003003","1","20021109","11","ミソギのインタビュー"
"1003004","1","20021109","12","ジュンのインタビュー"
"1004001","1","20021113","13","ミミのインタビュー"
"1004002","1","20021113","14","スズメのインタビュー"
"1004003","1","20021113","15","ユカリのインタビュー"
"1004004","1","20021113","16","マツリのインタビュー"
"2001001","1","20021102","17","1区レース開始前"
"2001002","1","20021103","18","1区レース終了後"
"2002001","1","20021105","19","2区レース開始前"
"2002002","1","20021105","20","2区レース終了後"
"2003001","1","20021107","21","3区レース開始前"
"2003002","1","20021109","22","3区レース終了後"
"2004001","1","20021109","23","4区レース開始前"
"2004002","1","20021113","24","4区レース終了後"
"3001001","1","20021102","25","美食殿ギルド紹介"
"3001002","1","20021102","26","王宮騎士団ギルド紹介"
"3001003","1","20021102","27","リトルリリカルギルド紹介"
"3001004","1","20021102","28","ヴァイスフリューゲルギルド紹介"
"3001005","1","20021102","29","メルクリウス財団ギルド紹介"
"3001006","1","20021102","30","エリザベスパークギルド紹介"
"3002001","1","20021115","31","美食殿レース感想"
"3002002","1","20021115","32","王宮騎士団レース感想"
"3002003","1","20021115","33","リトルリリカルレース感想"
"3002004","1","20021115","34","ヴァイスフリューゲルレース感想"
"3002005","1","20021115","35","メルクリウス財団レース感想"
"3002006","1","20021115","36","エリザベスパークレース感想"
"4001001","1","20021103","37","1区ハイライト　１"
"4001002","1","20021103","38","1区ハイライト　２"
"4001003","1","20021103","39","1区ハイライト　３"
"4002001","1","20021105","40","2区ハイライト　１"
"4002002","1","20021105","41","2区ハイライト　２"
"4002003","1","20021105","42","2区ハイライト　３"
"4003001","1","20021107","43","3区ハイライト　１"
"4003002","1","20021107","44","3区ハイライト　２"
"4004001","1","20021109","45","4区ハイライト　１"
"4004002","1","20021111","46","4区ハイライト　２"
"4004003","1","20021111","47","4区ハイライト　３"
"4004004","1","20021113","48","4区ハイライト　４"
