67ccac27645e7b565694938099d5c76b41c6fcb1729f4f94095a93a1a6aba770,2891c15cc2a1ec4a77724e8ef2ab77115a16b1e876ef25d74fcd2b2ec005ea79,c3c2db79d0516c2cc8c9319e7e6c642a9d188f3ae24389d9a7d783720334e122,79dd734b97eb74605bbc747de7e45f0a3dfda3268a2a6ab871f7a9b31eb0eb62,902d523e73766e3c9af46c2f04a316f50d60a84882ad4dd89f324b3431762a80,432fb7a77975308588e5542682d4a5cf4873b818cfe32f211ac829aeec551d6a
"2020-02-15 15:00:00","おまかせ","","1","1","1"
"2020-02-15 15:00:00","デフォルト","","2","2","2"
"2020-02-15 15:00:00","アニバーサリー","","3","3","3"
"2020-02-15 15:00:00","ピンク","","1","4","4"
"2020-02-15 15:00:00","レッド","","1","5","5"
"2020-02-15 15:00:00","イエロー","","1","6","6"
"2020-02-15 15:00:00","グリーン","","1","7","7"
"2020-02-15 15:00:00","ライトブルー","","1","8","8"
"2020-02-15 15:00:00","ブルー","","1","9","9"
"2020-02-15 15:00:00","パープル","","1","10","10"
"2020-02-15 15:00:00","グレー","","1","11","11"
