e4685fc64bbf5e68efe08ddab7bd15537ee2ca5bddc6147bf7b46ee64c68f6f5,ba2a60190a9ab30bddd460add84bc210525749f7b2a87c3a434258534312ce2e,0ceb83e95c949e65189d6e0d5b10918766af6240041f26000c76a275c9e84158
"1","1","2"
"2","2","1"
"3","3","3"
"4","4","2"
"5","5","2"
"6","6","2"
"7","7","2"
"8","8","2"
"9","9","2"
"10","10","2"
"11","11","2"
"12","12","2"
"13","13","1"
"14","14","1"
"15","15","1"
"16","16","1"
"17","17","1"
"18","18","1"
"19","19","2"
"20","20","4"
"21","21","2"
"22","22","2"
"23","23","5"
"24","24","5"
"25","25","5"
"26","26","6"
"27","27","6"
"28","28","6"
"29","29","7"
"30","30","8"
"31","31","8"
"32","32","9"
"33","33","9"
"34","34","10"
"35","35","10"
"36","36","11"
"37","37","11"
"38","38","12"
"39","39","12"
