63dd2a0ed2e90786f7692de2642bde0b5bfae428c1861d7a63206d34a57ecd2a,eb14f0a6ac1c29d830893fc97658a583c69508682e4b20ca66297a0b8ef2fa71,d4c7a58a5abbf476b5b1df968dcfce6ffa25fd884d2e86e9d44228f1de35ceab,8322f33a7fbd9c975628f5cb543cca545cab9f05526806a6ca4fe8c4a1e052ab,5a40ed8f9189586f4db9a13243b68e7f87f6b859b0d2bf36dc3747485dfa2be9
"1","0","26999","ひよっこ","1"
"1","0","26999","未熟者","2"
"1","0","26999","稚魚","3"
"3","0","26999","ビギナーランナー","4"
"1","0","26999","赤ちゃん","5"
"1","0","26999","ベイビー","6"
"1","0","26999","小物","7"
"1","0","26999","へっぽこ","8"
"1","0","26999","素人","9"
"1","27000","33999","小魚","10"
"1","27000","33999","初心者","11"
"3","27000","33999","エンジョイランナー","12"
"1","27000","33999","若輩者","13"
"1","27000","33999","ルーキー","14"
"1","27000","33999","ガール","15"
"1","27000","33999","注目株","16"
"1","27000","33999","原石","17"
"2","27000","33999","ニューホープ","18"
"1","34000","50399","探究者","19"
"1","34000","50399","暴れん坊","20"
"1","34000","50399","申し子","21"
"1","34000","50399","奇才","22"
"1","34000","50399","大物","23"
"1","34000","50399","麒麟児","24"
"1","34000","50399","ホープ","25"
"1","34000","50399","新星","26"
"1","34000","50399","逸材","27"
"1","50400","59999","マーメイド","28"
"1","50400","59999","先輩","29"
"1","50400","59999","中級者","30"
"3","50400","59999","ビーチフラッガー","31"
"1","50400","59999","魚","32"
"1","50400","59999","チーフ","33"
"1","50400","59999","キャプテン","34"
"1","50400","59999","一人前","35"
"1","50400","59999","セミプロ","36"
"1","50400","59999","大型新人","37"
"1","60000","69999","流れ星","38"
"1","60000","69999","先生","39"
"1","60000","69999","ドルフィン","40"
"1","60000","69999","職人","41"
"1","60000","69999","レーサー","42"
"1","60000","69999","トゥンヌス","43"
"1","60000","69999","中の中","44"
"2","60000","69999","ビッグネーム","45"
"1","60000","69999","異才","46"
"1","60000","69999","エリート","47"
"1","60000","69999","仕事人","48"
"1","60000","69999","玄人","49"
"1","70000","83999","オルカ","50"
"1","70000","83999","名人","51"
"1","70000","83999","魔術師","52"
"1","70000","83999","師匠","53"
"1","70000","83999","サブマリン","54"
"2","70000","83999","スプリンター","55"
"1","70000","83999","名手","56"
"2","70000","83999","エースランナー","57"
"1","70000","83999","プロ","58"
"1","70000","83999","看板選手","59"
"1","70000","83999","第一人者","60"
"1","70000","83999","ドン","61"
"2","84000","99999","スピードスター","62"
"1","84000","99999","豪傑","63"
"1","84000","99999","プリンセス","64"
"1","84000","99999","女神","65"
"1","84000","99999","マスター","66"
"2","84000","99999","ナンバーワン","67"
"1","84000","99999","寵児","68"
"3","84000","99999","ワイルドグリフォン","69"
"1","84000","99999","ワイバーン","70"
"2","84000","99999","エキスパート","71"
"2","84000","99999","トップランナー","72"
"1","100000","119999","韋駄天","73"
"1","100000","119999","クイーン","74"
"2","100000","119999","チャンピオン","75"
"2","100000","119999","天才ランナー","76"
"3","100000","119999","レコードホルダー","77"
"1","100000","119999","極致","78"
"2","100000","119999","ネプテリオン","79"
"2","100000","119999","シードレイク","80"
"1","100000","119999","女傑","81"
"1","100000","119999","革命家","82"
"2","100000","119999","ビッグスター","83"
"2","120000","999999","ファンタジスタ","84"
"2","120000","999999","スーパースター","85"
"3","120000","999999","ワールドチャンプ","86"
"1","120000","999999","レジェンド","87"
"1","120000","999999","超人","88"
"1","120000","999999","トルペドン","89"
"1","120000","999999","カルキノス","90"
"2","120000","999999","アクアリオス","91"
"1","120000","999999","至宝","92"
"3","120000","999999","グランドマスター","93"
"1","120000","999999","英雄","94"
"1","120000","999999","天下取り","95"
