7b91c45dabddd479dcaa90bacdad9be1c0d31ae4acf141d04a0a01ea3697aef6,1b50ecba29547220bd699c80abbe1603c55c4b892b5c7c74444e00580601fab6,d872cc84bf5c817369b086073eced84b4d7370ee6c9c89ee9fe7fa0733a6fb16,87d1490533fa38393fac744e7e55e7fdf9cbe2a3724e859192112548bcae2f70,d61c8e2a73bfd028ae9c2863c95d548ca6a079253d2bbfcb3a79af30ed97fc59
"53001","22","1","10001","10001001"
"53004","22","1","10001","10001002"
"53007","22","1","10001","10001003"
"53010","22","1","10001","10001004"
"53013","22","1","10001","10001005"
"53016","22","1","10001","10001006"
"53019","22","1","10001","10001007"
"53022","22","1","10001","10001008"
"53002","22","1","10001","10001009"
"53005","22","1","10001","10001010"
"53008","22","1","10001","10001011"
"53011","22","1","10001","10001012"
"53014","22","1","10001","10001013"
"53017","22","1","10001","10001014"
"53020","22","1","10001","10001015"
"53023","22","1","10001","10001016"
"53001","22","1","10002","10002001"
"53002","22","1","10002","10002002"
"53005","22","1","10002","10002003"
"53008","22","1","10002","10002004"
"53011","22","1","10002","10002005"
"53014","22","1","10002","10002006"
"53017","22","1","10002","10002007"
"53020","22","1","10002","10002008"
"53023","22","1","10002","10002009"
"53003","22","1","10002","10002010"
"53006","22","1","10002","10002011"
"53009","22","1","10002","10002012"
"53012","22","1","10002","10002013"
"53015","22","1","10002","10002014"
"53018","22","1","10002","10002015"
"53021","22","1","10002","10002016"
"53024","22","1","10002","10002017"
"53002","22","1","10003","10003001"
"53002","22","2","10003","10003002"
"53003","22","1","10003","10003003"
"53003","22","2","10003","10003004"
"53003","22","3","10003","10003005"
"53006","22","1","10003","10003006"
"53009","22","1","10003","10003007"
"53012","22","1","10003","10003008"
"53015","22","1","10003","10003009"
"53018","22","1","10003","10003010"
"53021","22","1","10003","10003011"
"53024","22","1","10003","10003012"
"53006","22","2","10003","10003013"
"53009","22","2","10003","10003014"
"53012","22","2","10003","10003015"
"53015","22","2","10003","10003016"
"53018","22","2","10003","10003017"
"53021","22","2","10003","10003018"
"53024","22","2","10003","10003019"
"53006","22","3","10003","10003020"
"53009","22","3","10003","10003021"
"53012","22","3","10003","10003022"
"53015","22","3","10003","10003023"
"53018","22","3","10003","10003024"
"53021","22","3","10003","10003025"
"53024","22","3","10003","10003026"
