097149aaf96922ff012435ac21f22efaa1da74996418c499fbee907cd77307de,11bf970fe2d9fb30299ea61651f4832188128b53a13092be7d7031c1af75d1b5,f81c0a22d734aa96698571490509c87345444be1226bc23232c3c333cc0f8a50
"101","#E24E7F","pink"
"102","#E24E7F","pink"
"103","#E24E7F","pink"
"104","#E24E7F","pink"
"105","#E24E7F","pink"
"106","#E24E7F","pink"
"107","#E24E7F","pink"
"108","#E24E7F","pink"
"109","#E24E7F","pink"
"110","#E24E7F","pink"
"200","#3290D4","lightblue"
"201","#3290D4","lightblue"
"202","#3290D4","lightblue"
"203","#3290D4","lightblue"
"204","#3290D4","lightblue"
"205","#3290D4","lightblue"
"206","#3290D4","lightblue"
"207","#3290D4","lightblue"
"208","#3290D4","lightblue"
"209","#3290D4","lightblue"
"210","#3290D4","lightblue"
"211","#3290D4","lightblue"
"301","#E5681E","orange"
"302","#E5681E","orange"
"303","#E5681E","orange"
"304","#E5681E","orange"
"305","#E5681E","orange"
"401","#C09825","yellow"
"402","#C09825","yellow"
"403","#C09825","yellow"
"404","#C09825","yellow"
"405","#C09825","yellow"
"501","#476FD8","blue"
"601","#339910","green"
"602","#339910","green"
"603","#339910","green"
"1000","#0F8B5E","darkgreen"
"1001","#E5681E","orange"
"1002","#339910","green"
"1003","#E24E7F","pink"
"1004","#3290D4","lightblue"
"1005","#C09825","yellow"
"1006","#C09825","yellow"
"1007","#C09825","yellow"
"1008","#C09825","yellow"
"1009","#C09825","yellow"
"1010","#C09825","yellow"
"1011","#3290D4","lightblue"
"1012","#E5681E","orange"
