31f726d725c426dea5f71b3083d24e6f4e622a62d00414e49c08ff5f50e69341,1786bd504213af36754b8d63da73611e1c383b4306d9322ab0f3690367927fca,b646838fecfb5dec682180bdcbd6da40761868db5ec2b7b39bd56da244e1d915,8242df8edec49916867fdd67d1360fabb90b0089d4c4d6886933e306d9b98505,ddb680c41a5791a5ffc223363f2eb7307a12cd9f010bbbf599c9fb14309e211b,a8d54cff90ad40fe603b41dbd2214322375878c14380db6ba617cf270ead5e85
"2","50000","50000","26202","1","1"
"2","10","10","90013","2","1"
"2","0","1","26203","3","1"
"2","55000","55000","26202","4","2"
"2","10","10","90013","5","2"
"2","0","1","26203","6","2"
"2","60000","60000","26202","7","3"
"2","10","10","90013","8","3"
"2","0","1","26203","9","3"
"2","65000","65000","26202","10","4"
"2","10","10","90013","11","4"
"2","0","1","26203","12","4"
"2","70000","70000","26202","13","5"
"2","10","10","90013","14","5"
"2","0","1","26203","15","5"
"2","75000","75000","26202","16","6"
"2","10","10","90013","17","6"
"2","0","1","26203","18","6"
"2","80000","80000","26202","19","7"
"2","10","10","90013","20","7"
"2","0","1","26203","21","7"
"2","85000","85000","26202","22","8"
"2","10","10","90013","23","8"
"2","0","1","26203","24","8"
"2","90000","90000","26202","25","9"
"2","20","20","90013","26","9"
"2","0","1","26203","27","9"
"2","95000","95000","26202","28","10"
"2","20","20","90013","29","10"
"2","0","1","26203","30","10"
"2","100000","100000","26202","31","11"
"2","20","20","90013","32","11"
"2","0","1","26203","33","11"
"2","105000","105000","26202","34","12"
"2","20","20","90013","35","12"
"2","0","1","26203","36","12"
