684af39d0815e1dfaff4b68057d0a5f022f908fb8e77e9799507325a3d0d2c78,dd13981e6a62eeb1f9d27793f6f766b3680e084f39f346f67850741a3dd13df6,ced52bbc5775d1cd41b25b72b268adc189d3226db2d819e0c4e805cd5e933467,26b6de183220c1ea8e0b7679ca799d16acc4ee52bfea00e066c03c1ed9d40ebd,ffe87431dce372a089b87726c2ce65e4c0cd024e5e23f5e2d0fa9978a6af7449,f29e632c9704d6e6e8b0997477bbf2bc309ab7e2eee2982a999514cf5a6f990d,6e4c9048e1885d300d0a3ecc1cf0c1f02fb301a4c5e01a1cf9edf92ca24fc0d0,dc7cc7d54eb56845a7b39a0924cd1d9e06d5e64ee6c2cb224d5ac2a042490442,6aeea6b042902bb7712f01866c46ec7e84ca21ab7e33b029cdb8749da8c446f5,acc01bb913856784e4850ea0b9dd2ba96127dc1442f1e935d1a7390d694cc149,8370ae36957e5150887122910c9d7244d7fa040a431dc695569f1b19fa2b8eba,022ba9dc9bd64f4df65d8a5394c24bd02fe6ebc84bf71b86f03f2ae63e6e5be5,2d945fff3fefc8ddb13a33304cd97f540e94ca12f30d5ec5a3f7d8be82a60c75,d701744d4c7cb0be98d65d1b64bd744d60908915c572d0b3dbe298b7b07e953a,21a78ee12b90f870748c844932e5f483e2f08e24d9140466047719bcb4972cfb,174eed47540dc77d3aa66a3f985b110e174ff4ae2201df89315cc9f86dce1796
"1","0","2","0","8","0","1001101","2","91002","0","40","22002","40","90006","0","0"
"2","0","2","0","8","0","1001102","2","91002","0","50","22002","60","90006","0","0"
"3","0","2","0","8","0","1001103","2","91002","0","60","22002","80","90006","0","0"
"4","0","2","0","8","0","1001104","2","91002","0","80","22002","100","90006","0","0"
"2","0","2","0","8","0","1001105","2","91002","0","150","22003","200","90006","0","0"
"0","0","0","0","2","0","1001106","2","90006","0","1","0","20","22002","0","0"
"0","0","0","0","2","0","1001107","2","90006","0","1","0","20","22002","0","0"
"0","0","0","0","2","0","1001108","2","90006","0","1","0","20","22002","0","0"
"0","0","0","0","2","0","1001109","2","90006","0","1","0","20","22002","0","0"
"0","0","0","0","2","0","1001110","2","90006","0","1","0","20","22003","0","0"
"1","0","2","0","8","0","1002101","2","91002","0","40","22002","40","90006","0","0"
"2","0","2","0","8","0","1002102","2","91002","0","50","22002","60","90006","0","0"
"3","0","2","0","8","0","1002103","2","91002","0","60","22002","80","90006","0","0"
"4","0","2","0","8","0","1002104","2","91002","0","80","22002","100","90006","0","0"
"2","0","2","0","8","0","1002105","2","91002","0","150","22003","200","90006","0","0"
"0","0","0","0","2","0","1002106","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1002107","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1002108","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1002109","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1002110","2","90006","0","1","0","40","22003","0","0"
"1","0","2","0","8","0","1003101","2","91002","0","40","22002","40","90006","0","0"
"2","0","2","0","8","0","1003102","2","91002","0","50","22002","60","90006","0","0"
"3","0","2","0","8","0","1003103","2","91002","0","60","22002","80","90006","0","0"
"4","0","2","0","8","0","1003104","2","91002","0","80","22002","100","90006","0","0"
"2","0","2","0","8","0","1003105","2","91002","0","150","22003","200","90006","0","0"
"0","0","0","0","2","0","1003106","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1003107","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1003108","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1003109","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1003110","2","90006","0","1","0","40","22003","0","0"
"1","0","2","0","8","0","1004101","2","91002","0","40","22002","40","90006","0","0"
"2","0","2","0","8","0","1004102","2","91002","0","50","22002","60","90006","0","0"
"3","0","2","0","8","0","1004103","2","91002","0","60","22002","80","90006","0","0"
"4","0","2","0","8","0","1004104","2","91002","0","80","22002","100","90006","0","0"
"2","0","2","0","8","0","1004105","2","91002","0","150","22003","200","90006","0","0"
"0","0","0","0","2","0","1004106","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1004107","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1004108","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1004109","2","90006","0","1","0","40","22002","0","0"
"0","0","0","0","2","0","1004110","2","90006","0","1","0","40","22003","0","0"
