cd5fe68026c5c4798972146b1108ad05f987fdcf7f738eb2995516e7d8160a80,d8a32294c794460be303d1196ed3a958198e4916aba8de2f76fb5c70933b5cd6,b139f4b86084bb5a77a894d7c91b40dcd397c7eb820a47c6da323d011b280481,4ae1843653c3298e2f83160e0c69a6f17fe802b1a8969072e0bbcfafd3239e47,b1cd0c94f8e8d1f9938373b4003b5376a567fc002b36d32fb93f58aedddaf57e,bf7cd8eddb2d866d90aea628bb5c2e08b66d492bc0a63947a26213bcd67e577b
"1","1","1","vo_caravan","11101","vo_caravan_105801_start_001"
"1","1","1","vo_caravan","11102","vo_caravan_105801_start_002"
"1","2","1","vo_caravan","12101","vo_caravan_105901_start_001"
"1","2","1","vo_caravan","12102","vo_caravan_105901_start_002"
"1","3","1","vo_caravan","13101","vo_caravan_106001_start_001"
"1","3","1","vo_caravan","13102","vo_caravan_106001_start_002"
"1","4","1","vo_caravan","14101","vo_caravan_106401_start_001"
"1","4","1","vo_caravan","14102","vo_caravan_106401_start_002"
"2","1","1","vo_caravan","21101","vo_caravan_105801_dice_001"
"2","1","1","vo_caravan","21102","vo_caravan_105801_dice_002"
"2","2","1","vo_caravan","22101","vo_caravan_105901_dice_001"
"2","2","1","vo_caravan","22102","vo_caravan_105901_dice_002"
"2","3","1","vo_caravan","23101","vo_caravan_106001_dice_001"
"2","3","1","vo_caravan","23102","vo_caravan_106001_dice_002"
"2","4","1","vo_caravan","24101","vo_caravan_106401_dice_001"
"2","4","1","vo_caravan","24102","vo_caravan_106401_dice_002"
"3","1","1","vo_caravan","31101","vo_caravan_105801_slot_001"
"3","2","1","vo_caravan","32101","vo_caravan_105901_slot_001"
"3","3","1","vo_caravan","33101","vo_caravan_106001_slot_001"
"3","4","1","vo_caravan","34101","vo_caravan_106401_slot_001"
"4","1","1","vo_caravan","41101","vo_caravan_105801_dish_001"
"4","1","1","vo_caravan","41102","vo_caravan_105801_dish_002"
"4","2","1","vo_caravan","42101","vo_caravan_105901_dish_001"
"4","2","1","vo_caravan","42102","vo_caravan_105901_dish_002"
"4","1","2","se_caravan","42201","se_caravan_food_peko"
"4","2","2","se_caravan","42202","se_caravan_food_coccoro"
"4","3","2","se_caravan","42203","se_caravan_food_kyaru"
"4","4","2","se_caravan","42204","se_caravan_food_coccoro"
"4","100","2","se_caravan","42205","se_caravan_food_onigiri"
"4","3","1","vo_caravan","43101","vo_caravan_106001_dish_001"
"4","3","1","vo_caravan","43102","vo_caravan_106001_dish_002"
"4","4","1","vo_caravan","44101","vo_caravan_106401_dish_001"
"4","4","1","vo_caravan","44102","vo_caravan_106401_dish_002"
"4","100","1","vo_caravan","45101","vo_caravan_onigiri_dish_001"
"6","0","1","vo_caravan","61101","vo_caravan_105801_goal_001"
"61","0","1","vo_caravan","61201","vo_caravan_105801_win_001"
"62","0","1","vo_caravan","61301","vo_caravan_105801_lose_001"
"6","0","1","vo_caravan","62101","vo_caravan_105901_goal_001"
"61","0","1","vo_caravan","62201","vo_caravan_105901_win_001"
"62","0","1","vo_caravan","62301","vo_caravan_105901_lose_001"
"6","0","1","vo_caravan","63101","vo_caravan_106001_goal_001"
"61","0","1","vo_caravan","63201","vo_caravan_106001_win_001"
"62","0","1","vo_caravan","63301","vo_caravan_106001_lose_001"
"6","0","1","vo_caravan","64101","vo_caravan_118501_goal_001"
"6","0","1","vo_caravan","65101","vo_caravan_106401_goal_001"
"61","0","1","vo_caravan","65201","vo_caravan_106401_win_001"
"62","0","1","vo_caravan","65301","vo_caravan_106401_lose_001"
"7","0","1","vo_caravan","71101","vo_caravan_105801_appraise_001"
"7","0","1","vo_caravan","72101","vo_caravan_105901_appraise_001"
"7","0","1","vo_caravan","73101","vo_caravan_106001_appraise_001"
"7","0","1","vo_caravan","74101","vo_caravan_106401_appraise_001"
"8","0","1","vo_caravan","81101","vo_caravan_105801_result_001"
"8","0","1","vo_caravan","82101","vo_caravan_105901_result_001"
"8","0","1","vo_caravan","83101","vo_caravan_106001_result_001"
"8","0","1","vo_caravan","84101","vo_caravan_106401_result_001"
"2","11","1","vo_caravan","211101","vo_caravan_319700_dice_001"
"2","11","1","vo_caravan","211102","vo_caravan_319700_dice_002"
"2","12","1","vo_caravan","212101","vo_caravan_319800_dice_001"
"2","12","1","vo_caravan","212102","vo_caravan_319800_dice_002"
"2","13","1","vo_caravan","213101","vo_caravan_319900_dice_001"
"2","13","1","vo_caravan","213102","vo_caravan_319900_dice_002"
