f480054423c62e8faf88297e0578ae39013f37db6ad96411701e20f1d3579dfb,36df54045870b632fa0ab95a4c1c1da57d1ff02a960ae30873d8d9f54289a6d3,6750d188e666765be14a39f1c47c3e08daa7f855e362c2c8bf0ebe0b81ea0216,881db3220faf378ed79f6c1cc72af32ba732258e8f1e0d02b5a58afaddb41250,f87ed499efe23f06aaf3c1367087aa3e1183f53c800899bcd62484a033a5e84b,9a17b15e14417b872365c3a597611f3aeceb8f658261d7a6e2cbe74f990ed11d
"1101","1","0","0","20025","1"
"1102","1","0","0","20025","1"
"1103","1","5042002","1","20025","0"
"1104","1","0","0","20025","1"
"1105","1","5042003","1","20025","0"
"1106","1","0","0","20025","1"
"1107","1","5042005","2","20025","0"
"1201","2","5042007","1","20025","0"
"1202","2","5042007","2","20025","0"
"1203","2","0","0","20025","1"
"1204","2","0","0","20025","1"
"1301","1","0","0","20025","0"
