624cb65e1947f44ee737748328515cdd4078c2391c5b8a51e74b746620a6071d,586fb154afa17223a10fc430c1bcab832a6131db72faccfda3dbe6498bb246c9,d8682b9819f710e5384b65035dd785711df09d51c39918d4f7ae5be644094746,ae63a42071cf1b330cecfeae5614763c61ad9244d926df16bd3cb9179080fcba,a4d13ff559cf3dd59c35f613ae4e01907c041f4350c1b9d2646ed9d74183aeef,dae0681ee3b6cf209a2255a185cfd8f1c0bdf516aedd8dd193bc930eaac84e02,c64ccae8ccfa087c2438a2eb194f554c07235552a88095d35d496c62cfc17ae7,dddea2df593fbb0c63787f227bd31e4487f100be48a3306997006ba398643a50,852ccf0669d83c866a5989b5cc649914baf158213620cf09c1174b8fa7e2b4b7,fa257f5a55fcd3be63cb7ce8a597a020861f23fe3f4793938f737ece57c2529a,371a1d468374621b437df51879d5d88f2cc8b03c15b0f1027a8deb58d8f5862d,79e060288053f14d92469bf1373cc2095e9892bc5f85191d72f365f57cd980e5,f32da2686a90a497672bfb96218a50c6f03ab997f6db070b1b7ee206a6ecc8b1,d93792a88bb84fe7ad630e17b6164f7d0726063093728a5a54367adfa861d53f,659962ea9e87a01abb7adb5d6e0ec12298b9106272ddcf9764916d7a0aab9742
"1","2023/06/30 12:00:00","1","96001","2023/09/22 14:59:59","100","2023/09/15 14:59:59","-1","bgm_MC043","-1","10010001","8","bgm_MC043","16","-1"
"2","2023/09/15 15:00:00","1","96002","2023/12/22 14:59:59","100","2023/12/15 14:59:59","-1","bgm_MC043","-1","10020001","8","bgm_MC043","16","-1"
"3","2023/12/15 15:00:00","2","96003","2024/03/22 14:59:59","100","2024/03/15 14:59:59","-1","bgm_MC103","-1","10030001","8","bgm_MC103","16","-1"
"4","2024/03/15 15:00:00","2","96004","2024/06/22 14:59:59","100","2024/06/15 14:59:59","-1","bgm_MC103","-1","10040363","8","bgm_MC103","16","-1"
"5","2024/06/15 15:00:00","2","96005","2024/09/22 14:59:59","500","2024/09/15 14:59:59","-1","bgm_MC103","-1","10050001","10","bgm_MC103","16","-1"
"6","2024/09/15 15:00:00","2","96006","2024/12/22 14:59:59","500","2024/12/15 14:59:59","-1","bgm_MC103","-1","10060001","10","bgm_MC103","16","-1"
"7","2024/12/15 15:00:00","3","96007","2025/03/22 14:59:59","1000","2025/03/15 14:59:59","5","bgm_MC211","15","10070363","10","bgm_MC211","16","15"
"8","2025/03/15 15:00:00","3","96008","2025/06/23 14:59:59","1000","2025/06/16 14:59:59","5","bgm_MC211","15","10080001","10","bgm_MC211","16","15"
"9","2025/06/16 15:00:00","3","96009","2025/09/23 14:59:59","1000","2025/09/16 14:59:59","5","bgm_MC211","15","10090001","10","bgm_MC211","16","15"
"10","2025/09/16 15:00:00","1","96010","2025/12/22 14:59:59","1000","2025/12/15 14:59:59","5","bgm_MC043","15","10100363","10","bgm_MC043","16","15"
"11","2025/12/15 15:00:00","1","96011","2026/03/23 11:59:59","1000","2026/03/16 11:59:59","5","bgm_MC043","15","10110001","10","bgm_MC043","16","15"
