db414cc51d8ab83cd5fe7acdca6b09aced2d2cb9d9b8815082bea1b729befbbd,b650b4dcac868520a1fba9c23f636e3eb15653bae7c17ab0dd91327cb2bc451a,88af04f130e665aeab79658c5dc305f670e6c8322b3477a5eeba9c109f37865e,6da47e9352846b6e22927131690afa665c17713d7b2605909e42b487018fd39e,b389c1050b96f1917ed2eff3e99784ffd84a94ef4fd2069f7027e25e1fa51ea6,edc2f1b19075e6dda8ed2b15040067da3cc3dc1a940e2493d1b4eb7584c93f1d
"0","0","1","5000","100111","2991180"
"0","0","1","10000","100121","2991167"
"0","0","1","2000","100122","2991168"
"0","0","1","1000","100131","2991172"
"0","0","1","5000","100211","2991102"
"0","0","1","1000","100221","2991181"
"0","0","1","2000","100222","2991182"
"0","0","1","5000","100231","2991187"
"0","0","1","5000","100311","2991183"
"0","0","1","2000","100312","2991184"
"0","0","1","5000","100321","2991185"
"0","0","1","1000","100322","2991186"
"0","0","1","30000","100331","2991188"
"0","0","1","2000","100411","2991190"
"0","0","1","1000","100421","2991103"
"0","0","1","1000","100422","2991104"
"0","0","1","5000","100431","2991105"
"0","0","1","10000","100432","2991106"
"0","0","1","2000","100511","2991189"
"0","0","1","10000","100521","2991107"
"0","0","1","5000","100522","2991108"
"0","0","1","5000","100523","2991109"
"0","0","1","50000","100531","2991110"
"0","0","14","5","110011","14"
"0","0","1","10000","110021","2991117"
"0","0","1","10000","110031","2991120"
"0","0","14","1","110041","16"
"0","0","1","1000","110051","2991101"
"0","0","14","1000","120011","109"
"0","0","1","3000","120021","2991121"
"0","0","1","3000","120031","2991124"
"0","0","1","1000","120041","2991127"
"0","0","1","1000","120051","2991128"
"0","0","1","1000","130011","2991129"
"0","0","14","1000","130021","100"
"0","0","14","1000","130022","101"
"0","0","14","3000","130031","107"
"0","0","14","1000","130041","6"
"0","0","14","1000","130042","7"
"0","0","14","10","130051","9"
"0","0","14","1000","140011","108"
"0","0","1","5000","140021","2991132"
"0","0","1","5000","140031","2991133"
"0","0","14","1000","140041","2"
"0","0","14","1000","140042","4"
"0","0","14","1000","140051","3"
"0","0","14","1000","140052","5"
"0","0","14","1000","150011","110"
"0","0","14","1000","150021","1"
"0","0","1","50000","150031","2991134"
"0","0","1","50000","150041","2991149"
"0","0","1","5000","150051","2991164"
"0","0","14","10","210011","14"
"0","0","1","20000","210021","2991118"
"0","0","1","20000","210031","2991120"
"0","0","14","3","210041","16"
"0","0","1","2000","210051","2991101"
"0","0","14","2000","220011","109"
"0","0","1","6000","220021","2991122"
"0","0","1","6000","220031","2991125"
"0","0","1","1500","220041","2991127"
"0","0","1","1500","220051","2991128"
"0","0","1","2000","230011","2991129"
"0","0","14","2000","230021","100"
"0","0","14","2000","230022","101"
"0","0","14","6000","230031","107"
"0","0","14","2000","230041","6"
"0","0","14","2000","230042","7"
"0","0","14","20","230051","9"
"0","0","14","2000","240011","108"
"0","0","1","10000","240021","2991132"
"0","0","1","10000","240031","2991133"
"0","0","14","2000","240041","2"
"0","0","14","2000","240042","4"
"0","0","14","2000","240051","3"
"0","0","14","2000","240052","5"
"0","0","14","2000","250011","110"
"0","0","14","2000","250021","1"
"0","0","1","100000","250031","2991139"
"0","0","1","100000","250041","2991154"
"0","0","1","10000","250051","2991165"
"0","0","14","5000","300011","104"
"0","0","14","15","310011","14"
"0","0","1","30000","310021","2991119"
"0","0","1","30000","310031","2991120"
"0","0","14","5","310041","16"
"0","0","1","3000","310051","2991101"
"0","0","14","3000","320011","109"
"0","0","1","9000","320021","2991123"
"0","0","1","9000","320031","2991126"
"0","0","1","2000","320041","2991127"
"0","0","1","2000","320051","2991128"
"0","0","1","3000","330011","2991129"
"0","0","14","3000","330021","100"
"0","0","14","3000","330022","101"
"0","0","14","9000","330031","107"
"0","0","14","3000","330041","6"
"0","0","14","3000","330042","7"
"0","0","14","30","330051","9"
"0","0","14","3000","340011","108"
"0","0","1","15000","340021","2991132"
"0","0","1","15000","340031","2991133"
"0","0","14","3000","340041","2"
"0","0","14","3000","340042","4"
"0","0","14","3000","340051","3"
"0","0","14","3000","340052","5"
"0","0","14","3000","350011","110"
"0","0","14","3000","350021","1"
"0","0","1","150000","350031","2991144"
"0","0","1","150000","350041","2991159"
"0","0","1","15000","350051","2991166"
