c9d141816a55a9a555ac380816f2b889cc6dc2bceceb7c4086898eb7ca6a9912,2abe1b275f2f51c7730c87b9949afdbe05648004d1d47d9fde64debdec41f6ed
"40","1"
"40","2"
"40","3"
"60","4"
"60","5"
"60","6"
"100","7"
"100","8"
"100","9"
"100","10"
"100","11"
"100","12"
"100","13"
"100","14"
"150","15"
"150","16"
"150","17"
"150","18"
"150","19"
"150","20"
"150","21"
"150","22"
"180","23"
"180","24"
"180","25"
"180","26"
"180","27"
"180","28"
"180","29"
"180","30"
"200","31"
"200","32"
"200","33"
"200","34"
"200","35"
"250","36"
"250","37"
"250","38"
"250","39"
"250","40"
