0454e8337edeed6ec681074440b17728f3bda7c4ad837eafa0232755ea3527d4,e2c542dd8b719f3fc39365d4c25be6c5098785807b576e63d9f72858ec2f12ca,7a241dd398b6cf74ed35b7343dbe10d2d17b5c4008d9bb1957d098b29c6d8b86,93132dc142a3076ba43a8baf9275c0af35bb6e6ad0a547cf80b2f94098261a32,1aa2a6da85b4fb8abd978ea5b5611f0475d3b3d3f25f9fa14407314685dd5e22,9a1ae0650935aa0b8f52ef833b2b9250cd3164f9eeccf05879454384694bb195,6f6285125eaf3f505b0631ffe317981377fd50c61cdb71475bd6b99eade38844,ec3bd3d7690a3a129e32bc5d78dada26f284d91d502d518013d0a110c6e30e2f,32de75312d56954ab1311af8e57a17a3fe1c097951837399bdcffcdc1a7f21bb,8a99ce98c34bba4657bb00460f1eda60aee9b221b092e9b90b38cecc0f7548f3,ee515471112d740b0959455828fd4d388af543641946ba75a93d1d487e16ab5e,77430159a5c72de10e9af898330fc1286844a86afb561ab48fd3b8bd8cc58f5e,676f5f9408da0e725364754c389272a9b370dff39b15534459c0c95044ce1c56
"ヤマト","-416.5","2030/01/01 14:59:59","100","1","3001100","ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか","0","2024/10/31 12:00:00","2.1","130011","3001","2"
"ヤマト","-416.5","2030/01/01 14:59:59","101","4","3001101","他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか","0","2024/10/31 12:00:00","5.68","130011","3001","2"
"ヤマト","-416.5","2030/01/01 14:59:59","102","1","3001102","なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。","0","2024/10/31 12:00:00","0","130011","3001","1"
"フブキ","-416.5","2030/01/01 14:59:59","100","1","3002100","え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？","0","2024/10/31 12:00:00","0","130211","3002","1"
"フブキ","-416.5","2030/01/01 14:59:59","101","1","3002101","ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡","0","2024/10/31 12:00:00","0","130211","3002","1"
"フブキ","-416.5","2030/01/01 14:59:59","102","5","3002102","へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ","0","2024/10/31 12:00:00","8.53","130211","3002","2"
"フブキ","-416.5","2030/01/01 14:59:59","103","7","3002103","なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？","0","2024/10/31 12:00:00","5.67","130211","3002","1"
"フブキ","-416.5","2030/01/01 14:59:59","104","1","3002104","ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？","0","2024/10/31 12:00:00","0","130211","3002","1"
"フブキ","-416.5","2030/01/01 14:59:59","300","3","3002300","あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？","0","2024/10/31 12:00:00","0","130211","3004","3"
"フブキ","-416.5","2030/01/01 14:59:59","301","7","3002400","ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡","0","2024/10/31 12:00:00","0","130211","3005","7"
"フブキ","-416.5","2030/01/01 14:59:59","200","2","3003200","きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪","0","2024/10/31 12:00:00","4.4","130211","3003","1"
"フブキ","-416.5","2030/01/01 14:59:59","201","7","3003201","は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ","0","2024/10/31 12:00:00","0","130211","3003","7"
"フブキ","-416.5","2030/01/01 14:59:59","202","1","3003202","お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪","0","2024/10/31 12:00:00","5.6","130211","3003","2"
