811a7f2b31de127be0d81c027be6bddd3a1474b7cc4917628e5a21e8beee547b,e8b45133a7dd1214b607e4f27181c667ee8a8501a6ad0d466438417fdccc47c9,1ee985d9402c8b6a90a6cc1e60e10cb5202d8078e7778635fdc6d2dd9982c08e
"1","2","1"
"2","1","2"
"3","3","3"
"4","2","4"
"5","2","5"
"6","2","6"
"7","2","7"
"8","2","8"
"9","2","9"
"10","2","10"
"11","2","11"
"12","2","12"
"13","1","13"
"14","1","14"
"15","1","15"
"16","1","16"
"17","1","17"
"18","1","18"
"19","2","19"
"20","4","20"
"21","2","21"
"22","2","22"
"23","5","23"
"24","5","24"
"25","5","25"
"26","6","26"
"27","6","27"
"28","6","28"
"29","7","29"
"30","8","30"
"31","8","31"
"32","9","32"
"33","9","33"
"34","10","34"
"35","10","35"
"36","11","36"
"37","11","37"
"38","12","38"
"39","12","39"
