3781c290a0464bd0ececd21cccac966f2c4ae5f220cfd470d5dfea76dec0a6c0,07ba2c67fdd516f3c257bca5bc07249cd2c8251a34b5a7d6da853491e41b45c3,0188894464c1eb7db9d6188bb9fd384bc253d5fd809151d60deab49a38c78810,129a191ab990e93066d170fb8d4f6010ac33e1c8b46449e71bc732ac061e15af,4dcb9bb20c844bf7d50c5db4ce2e7b76d3bad4d867af1346a1a28929ff5adbb5,c092288c03160628c58e98410134fd6ca630f445da02a7dbfa73043148d487c1,482b21c518139a86260bf9d1a125835c46e425906abaf426f3530c76b5893399,2034f6aa84b86604a808efd57bd90bf6629a1b45d0eddafb1154ecc4f6c2c4b2,d69bb3ec082f70efdd34ffe68e73193b9a710d3aac185966aeea32c3a6a30dd4,a1f4809d89405cb841c120700d784e19ac46551da9ea389087ab16557ece463d,bb347d5e876e27e9f3ef7739f04c79df7686c6b619485c66863cd2f5b7d8f820
"2","91002","0","25","8","10128","5128071","0","20070115","0","二人だけの時間"
"2","91002","0","25","8","10128","5128072","0","0","5128071","新居の必須条件"
"2","91002","0","25","8","10128","5128073","0","0","5128072","本当は誰よりも"
"2","91002","0","25","8","10128","5128074","0","0","5128073","家族で大切に\nしたいこと"
"2","91002","0","50","8","10128","5128075","0","0","5128074","誓いの言葉"
"3","91002","0","25","8","10128","5128081","0","20070115","0","血の婚約報告"
"3","91002","0","25","8","10128","5128082","0","0","5128081","風来人の家探し"
"3","91002","0","25","8","10128","5128083","0","0","5128082","愛おしい時間"
"3","91002","0","25","8","10128","5128084","0","0","5128083","トーゴクの\n家族文化"
"3","91002","0","50","8","10128","5128085","0","0","5128084","飾らない愛を"
"4","0","0","0","0","10128","5128091","5128085","0","5128075","口約束は災いのもと"
"4","0","11001271","0","0","10128","5128092","0","0","5128091","譲れない家庭の味"
"1","0","0","0","0","10128","5128161","0","20070115","0","夢の語り部に誘われて"
