7450cb67d9b0c8661e271c0e0753cf78ec528c9a64f27b36b6f3e4bc299a5975,2253af4d7d421f3a9142883865942f40c40b432bb03d4e73763b03173ca01aae,f4763f1990eb510b4f1c7d6b366e6a75b0b91d928fd4f17473b8766d94ad3b53,6a8dd047e13be0445e556cbd37a09136cfb2b15e00b1977bb24afa1581277e52,18f15464fddd501d85023d724f68fa3d3dc0b951c3a806588f605663e531a7db,983b878087e212b42cc80062405186fa7ef1d552c54ae6ddf546dc656bd9816c,ba0c9753749c2526b01a3eab97162a5879b01ee6797a62f4ecdd52e0d442a058
"0","3","0","0","料理入手イベント","1","1"
"0","1","0","0","ダイス入手イベント1","2","2"
"0","2","0","0","ダイス入手イベント2","2","3"
"3","0","0","1","ターン数カウントスキップ","3","4"
"2","100","1","0","マイル+100%","4","5"
"2","100","1","0","ミニゲームマイル+100%","5","6"
"3","300","1","0","ショップ割引イベント","6","7"
"3","300","1","0","ショップ割引イベント","6","8"
"3","0","0","2","ターン数カウントスキップ1","3","98001"
"3","0","0","1","ターン数カウントスキップ1","3","98011"
"3","0","0","2","ターン数カウントスキップ2","3","98012"
