5789fac5887f429ca6ca79f50d76de877c56fc9fd33a792a811592458fd6b0a8,c0f0343e8eb0d8e599ab8e85dd8af4b2de5acadfb16b77c17380a5971ffcdfb6,0d5ab72415d15147694c36fc29934da2f18cd1aa61accc50f5a6aea6318b8753,68d810c10af4a68c3a51414945f0286e629ee1d57e3be750ee41b89c1e91bb3e,380544f26e31bf7f3a36069e9e5f750c2619cdfaa975897b1a215954e40f78d9,ee7a100205e628f4f24908de2bfb2c88bb122ff9b486bf1f20cb78a5c9fe8730,a1f4052d8da2a4c9f04aac0896ddbac36cc5c23eb36c5e7ac5bc8df1374b0470,cbd0a6655e545739f377e69cc8988007e1837746e8fd047f247c01e254b84afb,b61ba4be57c97afb5d83a45d52b4ee05fb94a4423675b1e9c1337d60c88dca34,0eb7c043ef50464149789f19929bd8bf0130d2020630c10eb17b7fe01033cf42,b201030dbd906c9a60a7766995ef08d5f466a14d2f54a070728c0e3701d4e008,324f12bf07bc8cd53a004979f6de6ef7cfc7ed275cd164a63502883e5355ccb0,fbbd122ec7f781c038105f2360503a4e52776b366cbbf45381a53b312b1128ca,aab2809106c9d131e93b3b6eb31efd5417249c4d47840f00b1e271d7f03f88c8,78b8f320bc1b31440fca171e38855eb4f991b3a7bfd16be412b0534e31bcb17c,731b062b922050ef4f74aa7137cc698a8dda3f6a1ed4fef71cd0c495d2879696
"0","0","0","0","0","12","0","0","プリンを15種類食べよう","1","0","15","94002","20000","0","1"
"0","0","0","0","0","12","0","0","プリンを30種類食べよう","1","0","30","94002","30000","0","2"
"0","0","0","0","0","8","0","0","プリンを40種類食べよう","1","0","40","91002","50","0","3"
"0","0","0","0","0","12","0","0","プリンを50種類食べよう","1","0","50","94002","50000","0","4"
"0","0","0","0","0","8","0","0","プリンを55種類食べよう","1","0","55","91002","50","0","5"
"0","0","0","0","0","12","0","0","プリンを60種類食べよう","1","0","60","94002","100000","0","6"
"0","0","8","91002","0","15","100","0","プリンを全66種類食べよう","1","0","66","11001164","1","0","7"
"0","0","0","0","0","12","0","0","プリンノートを25％コンプリートしよう","2","0","25","94002","50000","0","8"
"0","0","0","0","0","8","0","0","プリンノートを50％コンプリートしよう","2","0","50","91002","50","0","9"
"0","0","0","0","0","12","0","0","プリンノートを75％コンプリートしよう","2","0","75","94002","100000","0","10"
"0","0","15","11001165","91002","16","1","8","プリンノートを100％コンプリートしよう","2","0","100","9000100","1","100","11"
