49503eb8a5e6e98cc8623779c8e9eef21c35a05c7e6f712420a70c17c0f0af6b,49f07d5821c9fa9fbd6005c95a9c97a89eb0aeb77946203484936b0c004f6089,f5957da7b5540a0da6406dab20958b49aa5f0463ca9a40ca1861fa1ee2a6bcda,e4386791777ed0e6276efc65114089d981d59e0747f1eeb5efb2261e08924ea0,8695a2f68da8c2fca4640d1a62c6565476f03d664d90a59793bce4ed87ab0a7a,2607f14cfcd9168ddf10a676419978a6ef03d4ea98d2e642498cac0852abd7dc,f4018cff6b6d65a5c2cfa27ba863ff5dc6a5ed5c5d33e78675b814da65f8dc8b,945ed6b8e327425333790db1238ee835a90c2c349e43edda8a53d24e9525fd01,aee89d83405ea540e48c5699cad152fba217ea46252d45f2041336c32f908049,328e4b1652607b54f22ed46c0956a6f5b18a8597687afac20c17182906109095,7f2b7dd237e5f1b78f609d86d3a790dcdf067fc2894fd48686d0d1f2a569fba7
"10128","25","91002","2","0","二人だけの時間","0","0","10157107","5128071","8"
"10128","25","91002","2","0","新居の必須条件","5128071","0","0","5128072","8"
"10128","25","91002","2","0","本当は誰よりも","5128072","0","0","5128073","8"
"10128","25","91002","2","0","家族で大切に\nしたいこと","5128073","0","0","5128074","8"
"10128","50","91002","2","0","誓いの言葉","5128074","0","0","5128075","8"
"10128","25","91002","3","0","血の婚約報告","0","0","10157107","5128081","8"
"10128","25","91002","3","0","風来人の家探し","5128081","0","0","5128082","8"
"10128","25","91002","3","0","愛おしい時間","5128082","0","0","5128083","8"
"10128","25","91002","3","0","トーゴクの\n家族文化","5128083","0","0","5128084","8"
"10128","50","91002","3","0","飾らない愛を","5128084","0","0","5128085","8"
"10128","0","0","4","5128085","口約束は災いのもと","5128075","0","0","5128091","0"
"10128","0","0","4","0","譲れない家庭の味","5128091","11001271","0","5128092","0"
"10128","0","0","1","0","夢の語り部に誘われて","0","0","10157107","5128161","0"
