e96508d53711d80381ff1a8b46234f79659fa1fbc206a9ebf296031d79fe9bf3,53f537210009290f98a0bf69ce332edcb241347b4d51bdf4ef358adfc40f6af1,bcc15524a65c4ea8320f5935a3305117cec311dcc0d166915be2105e630036a4,4f58abcfea8d9af0c95b48c62baff781b3c0c394646f3b079a59d7a1f1eea07f
"バトルの残り時間が0:05以上で勝利","4001","1","10104001"
"バトルの残り時間が0:10以上で勝利","9001","1","10109001"
"バトルの残り時間が0:15以上で勝利","14001","1","10114001"
"バトルの残り時間が0:20以上で勝利","19001","1","10119001"
"バトルの残り時間が0:25以上で勝利","24001","1","10124001"
"バトルの残り時間が0:30以上で勝利","29001","1","10129001"
"バトルの残り時間が0:35以上で勝利","34001","1","10134001"
"バトルの残り時間が0:40以上で勝利","39001","1","10139001"
"バトルの残り時間が0:45以上で勝利","44001","1","10144001"
"バトルの残り時間が0:50以上で勝利","49001","1","10149001"
"バトルの残り時間が0:55以上で勝利","54001","1","10154001"
"バトルの残り時間が1:00以上で勝利","59001","1","10159001"
"バトルの残り時間が1:05以上で勝利","64001","1","10164001"
"バトルの残り時間が1:10以上で勝利","69001","1","10169001"
"バトルの残り時間が1:15以上で勝利","74001","1","10174001"
"バトルの残り時間が1:20以上で勝利","79001","1","10179001"
"戦闘不能になったキャラが0人以下で勝利","0","2","10200000"
"戦闘不能になったキャラが1人以下で勝利","1","2","10200001"
"戦闘不能になったキャラが2人以下で勝利","2","2","10200002"
"戦闘不能になったキャラが3人以下で勝利","3","2","10200003"
"戦闘不能になったキャラが4人以下で勝利","4","2","10200004"
"物理タイプキャラを1人以上編成して勝利","1","3","10300001"
"物理タイプキャラを2人以上編成して勝利","2","3","10300002"
"物理タイプキャラを3人以上編成して勝利","3","3","10300003"
"物理タイプキャラを4人以上編成して勝利","4","3","10300004"
"物理タイプキャラを5人編成して勝利","5","3","10300005"
"魔法タイプキャラを1人以上編成して勝利","1","4","10400001"
"魔法タイプキャラを2人以上編成して勝利","2","4","10400002"
"魔法タイプキャラを3人以上編成して勝利","3","4","10400003"
"魔法タイプキャラを4人以上編成して勝利","4","4","10400004"
"魔法タイプキャラを5人編成して勝利","5","4","10400005"
"タンクキャラを1人以上編成して勝利","1","5","10500001"
"タンクキャラを2人以上編成して勝利","2","5","10500002"
"タンクキャラを3人以上編成して勝利","3","5","10500003"
"タンクキャラを4人以上編成して勝利","4","5","10500004"
"タンクキャラを5人編成して勝利","5","5","10500005"
"ヒーラーキャラを1人以上編成して勝利","1","6","10600001"
"ヒーラーキャラを2人以上編成して勝利","2","6","10600002"
"ヒーラーキャラを3人以上編成して勝利","3","6","10600003"
"ヒーラーキャラを4人以上編成して勝利","4","6","10600004"
"ヒーラーキャラを5人編成して勝利","5","6","10600005"
"ブースターキャラを1人以上編成して勝利","1","7","10700001"
"ブースターキャラを2人以上編成して勝利","2","7","10700002"
"ブースターキャラを3人以上編成して勝利","3","7","10700003"
"ブースターキャラを4人以上編成して勝利","4","7","10700004"
"ブースターキャラを5人編成して勝利","5","7","10700005"
"バッファーキャラを1人以上編成して勝利","1","8","10800001"
"バッファーキャラを2人以上編成して勝利","2","8","10800002"
"バッファーキャラを3人以上編成して勝利","3","8","10800003"
"バッファーキャラを4人以上編成して勝利","4","8","10800004"
"バッファーキャラを5人編成して勝利","5","8","10800005"
"デバッファーキャラを1人以上編成して勝利","1","9","10900001"
"デバッファーキャラを2人以上編成して勝利","2","9","10900002"
"デバッファーキャラを3人以上編成して勝利","3","9","10900003"
"デバッファーキャラを4人以上編成して勝利","4","9","10900004"
"デバッファーキャラを5人編成して勝利","5","9","10900005"
"ジャマーキャラを1人以上編成して勝利","1","10","11000001"
"ジャマーキャラを2人以上編成して勝利","2","10","11000002"
"ジャマーキャラを3人以上編成して勝利","3","10","11000003"
"ジャマーキャラを4人以上編成して勝利","4","10","11000004"
"ジャマーキャラを5人編成して勝利","5","10","11000005"
"アタッカーキャラを1人以上編成して勝利","1","11","11100001"
"アタッカーキャラを2人以上編成して勝利","2","11","11100002"
"アタッカーキャラを3人以上編成して勝利","3","11","11100003"
"アタッカーキャラを4人以上編成して勝利","4","11","11100004"
"アタッカーキャラを5人編成して勝利","5","11","11100005"
"ブレイカーキャラを1人以上編成して勝利","1","12","11200001"
"ブレイカーキャラを2人以上編成して勝利","2","12","11200002"
"ブレイカーキャラを3人以上編成して勝利","3","12","11200003"
"ブレイカーキャラを4人以上編成して勝利","4","12","11200004"
"ブレイカーキャラを5人編成して勝利","5","12","11200005"
"火属性キャラを1人以上編成して勝利","1","13","11300001"
"火属性キャラを2人以上編成して勝利","2","13","11300002"
"火属性キャラを3人以上編成して勝利","3","13","11300003"
"火属性キャラを4人以上編成して勝利","4","13","11300004"
"火属性キャラを5人編成して勝利","5","13","11300005"
"水属性キャラを1人以上編成して勝利","1","14","11400001"
"水属性キャラを2人以上編成して勝利","2","14","11400002"
"水属性キャラを3人以上編成して勝利","3","14","11400003"
"水属性キャラを4人以上編成して勝利","4","14","11400004"
"水属性キャラを5人編成して勝利","5","14","11400005"
