235df15de252a44b8ca1172169f61ae1d0b5a088e25ce8fd4c5760f066c5afff,c0aee43fc6641bca9b1e65dac66c8794fea217e5438751ace0499bb2c9bbc211,c5eabd8b593e9703e2013558c09a16d242960073f5c6e9b2990a882813814908,3f67f68c754bfd437fac3bea4bde789198ae1de381510b19245aa2b4e7ddcbcd,f6c8202b91dec235e6a63f8b8b0e0ecd6e0e7097ebe46a7a8a9ef8a9922887dd
"6017101","10153102","信頼度","10153","1"
"6144101","10168102","信頼度","10168","1"
"0","0","信頼度","20015","1"
"0","0","信頼度","20017","1"
"0","0","信頼度","20018","1"
"0","0","信頼度","20019","1"
"0","0","信頼度","20020","1"
"0","0","信頼度","20022","1"
"0","0","信頼度","20023","1"
"0","0","信頼度","20024","1"
"0","0","信頼度","20025","1"
"0","0","信頼度","20026","1"
"0","0","信頼度","20028","1"
"0","0","信頼度","20029","1"
"0","0","信頼度","20030","1"
"0","0","信頼度","20031","1"
"0","0","信頼度","20032","1"
"0","0","信頼度","20035","1"
"0","0","信頼度","20037","1"
"0","0","信頼度","20038","1"
"0","0","信頼度","20042","1"
"0","0","信頼度","20043","1"
"0","0","信頼度","20048","1"
"0","0","信頼度","20049","1"
"0","0","信頼度","20051","1"
"0","0","信頼度","20054","1"
"0","0","信頼度","20055","1"
"0","0","信頼度","20056","1"
"0","0","信頼度","20061","1"
"0","0","信頼度","20066","1"
