0bc6c5171a4bc711d718e50a55f488dd82135f8ed105579a6104ef05bd19fc56,ef168865b3b75e46fb51f04f1f529ec3475abc238bf9591407fe905aded92455,99634676f71334e233e8d56cda4fad6b8a1603cf39cb0bf605ad69fe642037fa,d5f5194fd970214e8539c5a9f56091c168f32b41f55041dec70c0b28b452c88e,061ad34971f1bb7b0d4b7ce1ecc36304eaf6322d263ad7f2247b594a63bf2201,f189961e1e2fe23ca561634c3390035c9b119c8b8457b7f2426041bd3e05b4c7,2481f0c2f275347a536f8d7c0722fd4e99f00485da8458c03a05abb99507f563,2c8b359c2915df614c315461eaf51f20ca8fc35395987d919291f15e9b5c15bd
"10012","0","0","1","1001201","0","10012103","0"
"10012","0","0","2","1001202","0","10012107","0"
"10012","0","0","3","1001203","0","10012109","0"
"10012","0","0","4","1001204","1001201","10012114","0"
"10012","0","0","5","1001204","1001202","10012114","0"
"10012","0","0","6","1001204","1001203","10012114","0"
"20012","0","0","7","2001201","0","20012103","0"
"20012","0","0","8","2001202","0","20012107","0"
"20012","0","0","9","2001203","0","20012109","0"
"20012","0","0","10","2001204","2001201","20012114","0"
"20012","0","0","11","2001204","2001202","20012114","0"
"20012","0","0","12","2001204","2001203","20012114","0"
