9b7f23d1bc4dce3c5e454cd1f665e2762a5b396b71b305b2ab2ee784fa239192,f368c666b56a8e3c3f9d853464633c6a089af8c38b14e75706cc7db86bcd7794,86c04df170cd0467834696e2e827043074cba9300fa7d25502461aef7c26409e,da95ba2e5e79bd5085400d2969d77ce9a2de71d492ce01ce5bf023cb3851e735,44b3a0781377cd484c789339e48b48a5528a711a19947c99473276d2dbdb96cf,117215efd4bb60a16a80d1dc271c6f1aa5dcc56dae39870a7eedcaee18f34c89,0f4d6d4bdea24869edd75178932394475fc5d0c01c6d0aec1c59f3ca048aaa0b
"1","1","0","10008111","0","10008101",""
"2","1","0","10008115","0","10008112",""
"3","3","0","10008103","0","10008101",""
"4","3","0","10008115","0","10008105",""
"5","4","0","150","0","10008112",""
"6","1","0","10028111","0","10028101",""
"7","1","0","10028115","0","10028112",""
"8","3","0","10028103","0","10028101",""
"9","3","0","10028115","0","10028105",""
"10","4","0","150","0","10028112",""
"11","11","20012107","20012104","0","20012104",""
"12","11","20012109","20012108","0","20012108",""
"13","11","20012114","20012110","0","20012110",""
"14","11","20012115","20012115","0","20012115",""
"15","4","0","120","0","20012110",""
"16","1","0","20008111","0","20008101",""
"17","1","0","20008115","0","20008112",""
"18","3","0","20008103","0","20008101",""
"19","3","0","20008115","0","20008105",""
"20","4","0","150","0","20008112",""
