a7390fcbf694be703d0b839fbbfd1bb161b68ed3f5d5bb6df772afcf044e4f7b,5f5162786e195b6867b26aeba42244692a693dc0329e67f11ec0658fcd24a5b3,397d8a41a54da53b44cff5c9c55d2e78a97a8c0114b421affab8ed83f322f5b7,c53839765137a692bef580f8e593f6a4fc450d448a1fbf170142e2b48e096a20,bec00e296e1cf2583a9686ff8c9d35633cc3e13a48cd096fc6f168b9ac28a9b1,f2d01b489d6187289374ee5b2e263cdaeae5fc5df7d4a1bfacca088fcc0b96c5,94e20c5f519228d62ebe266e4e75073b38b752885d9efd9d43f362b601de4dda,6a8b94c20c28dfb7ec98e3f651cb5d8ef10caabfe85d029d37131c5121455bcc,296c2ae23f345d20f36336641910ef9ed5aa3d4f681335195b9d546c83f9bb28
"32000101","7008","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1","500000","1","32000101","1002","1010"
"32000102","7008","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1","750000","2","32000102","1002","1010"
"32000103","7008","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1","1000000","3","32000103","1002","1010"
"32000104","7008","全プレイヤーでフレイヤを合計500,000回倒そう","1","500000","4","32000104","1003","1010"
"32000105","7008","全プレイヤーでフレイヤを合計750,000回倒そう","1","750000","5","32000105","1003","1010"
"32000106","7008","全プレイヤーでフレイヤを合計1,000,000回倒そう","1","1000000","6","32000106","1003","1010"
"32000107","7008","全プレイヤーでアラクネを合計1,000,000回倒そう","0","1000000","7","32000107","1004","1010"
"32000108","7008","全プレイヤーでアラクネを合計1,500,000回倒そう","0","1500000","8","32000108","1004","1010"
"32000109","7008","全プレイヤーでアラクネを合計2,000,000回倒そう","0","2000000","9","32000109","1004","1010"
"32000110","7007","宝石蜘蛛の群れに1回挑戦しよう","1","1","10","32000110","1001","1009"
"32000111","7007","バンディ・シスターズを1回倒そう","1","1","11","32000111","1002","1009"
"32000112","7007","フレイヤを1回倒そう","1","1","12","32000112","1003","1009"
"32000113","7007","アラクネを1回倒そう","0","1","13","32000113","1004","1009"
