79cd02d16becdea913c09521175531c3aa534dd61a37352bc15a30aeed9956c4,080b3fdad5d97b3c346cae2bfcc57eb799398e1793c057cfa6524afa29bc5fe8,aaa4793bebecb5842aa7472445633552f37679003de2c2476e75bcacbbb1869c,2ec24dc1c1d83e08959db12804ad12c3049e5fcadab3f2c440c5e8958c8a69fc,255016ae65383c7744d412e99d4c55e34721ab4dce3e8012aaa83776cce35b89,605578c24d41959b3096749304978be9056e1e38a72a7b14e5b7e5ce1cd08f34,f3fee1e9f40194a7100caac0c89c67bc21cc02ba3b498e27332775331ba75a67,4826dd2bb9b341c66b540191029e6f837a8aac7b490b38ca6994778228646328,7a8d9900917de739fcd30cbb044720f937a4d0c6c7a70dc270fb0d765173c46f,f95a55c747d82cce59be57aef76a4796739a8836ee02cc6cf79a7aaedf739039
"ライラエル","126501","","1","0","1","10001","1001","","最大50％割引確定のショップを開く（1品100％割引あり）"
"モニカ","105301","","2","0","2","10001","1002","","最大1000マイルを入手する"
"クローチェ","126401","","1","0","3","1","1003","","料理を{0}つ入手する"
"マツリ","100501","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","0","4","1","1004","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる"
"ナナカ","101301","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","0","4","2","1005","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる"
"マコト","104301","","2","0","5","4","1006","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"エリコ","102701","","3","0","5","3","1007","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"アンナ","100901","","1","0","6","7","1008","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"ミツキ","105101","","1","0","1","10001","1009","","最大50％割引確定のショップを開く（1品100％割引あり）"
"イオ","101801","","2","0","2","10001","1010","","最大1000マイルを入手する"
"ネフィ＝ネラ","129701","","2","0","8","0","1011","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる"
"スズナ","101601","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3","0","4","1","1012","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる"
"ルカ","105601","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","0","4","2","1013","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる"
