b3a15108041a31de0a8f145d7125a86825cbb70a25d54676c7b77651323401a4,fe2afbeeea132f5301b68eb31590f444cf6651a0a777233bd0c5aa0a9377b0c0,693ea8fecc2679c6a420b4a95366aa07988cc0aa2356e28e2ad7d1f0c173bdf8,8ff604a991305060afce5460a98383be56671e0e4a3af7acd6692ace28f9b7a8,b05613e0d171c65631bf365338d8f4858f1706a6fa1b370d3386765a42e26501
"3000000","12","94002","1","100101"
"300","2","20004","2","100101"
"1000","2","90008","3","100102"
"6","2","25001","4","100103"
"1000000","12","94002","5","100104"
"300","2","20004","6","100104"
"1000","2","90008","7","100105"
"6","2","25001","8","100106"
"40","8","91002","9","100107"
"1000000","12","94002","10","100107"
"300","2","20004","11","100107"
"1000","2","90008","12","100108"
"1","2","41000","13","100109"
"7","2","25001","14","100109"
"1000000","12","94002","15","100110"
"400","2","20004","16","100110"
"1500","2","90008","17","100111"
"40","8","91002","18","100112"
"7","2","25001","19","100112"
"1000000","12","94002","20","100113"
"400","2","20004","21","100113"
"1500","2","90008","22","100114"
"1","2","41000","23","100115"
"7","2","25001","24","100115"
"1000000","12","94002","25","100116"
"500","2","20004","26","100116"
"40","8","91002","27","100117"
"1500","2","90008","28","100117"
"2000000","12","94002","29","100118"
"8","2","25001","30","100118"
"2000","2","90008","31","100118"
"3000000","12","94002","32","100201"
"300","2","20004","33","100201"
"1000","2","90008","34","100202"
"12","2","25001","35","100203"
"1000000","12","94002","36","100204"
"300","2","20004","37","100204"
"1000","2","90008","38","100205"
"10","2","25001","39","100206"
"40","8","91002","40","100207"
"1000000","12","94002","41","100207"
"300","2","20004","42","100207"
"1000","2","90008","43","100208"
"1","2","41000","44","100209"
"10","2","25001","45","100209"
"1000000","12","94002","46","100210"
"400","2","20004","47","100210"
"1500","2","90008","48","100211"
"40","8","91002","49","100212"
"9","2","25001","50","100212"
"1000000","12","94002","51","100213"
"400","2","20004","52","100213"
"1500","2","90008","53","100214"
"1","2","41000","54","100215"
"1000000","12","94002","55","100216"
"500","2","20004","56","100216"
"40","8","91002","57","100217"
"1500","2","90008","58","100217"
"2000000","12","94002","59","100218"
"2000","2","90008","60","100218"
"3000000","12","94002","61","100301"
"300","2","20004","62","100301"
"1000","2","90008","63","100302"
"12","2","25001","64","100303"
"1000000","12","94002","65","100304"
"300","2","20004","66","100304"
"1000","2","90008","67","100305"
"10","2","25001","68","100306"
"40","8","91002","69","100307"
"1000000","12","94002","70","100307"
"300","2","20004","71","100307"
"1000","2","90008","72","100308"
"1","2","41000","73","100309"
"10","2","25001","74","100309"
"1000000","12","94002","75","100310"
"400","2","20004","76","100310"
"1500","2","90008","77","100311"
"40","8","91002","78","100312"
"9","2","25001","79","100312"
"1000000","12","94002","80","100313"
"400","2","20004","81","100313"
"1500","2","90008","82","100314"
"1","2","41000","83","100315"
"1000000","12","94002","84","100316"
"500","2","20004","85","100316"
"40","8","91002","86","100317"
"1500","2","90008","87","100317"
"2000000","12","94002","88","100318"
"2000","2","90008","89","100318"
