38be2e5d9399611b056b2839ec44d4ad8ac68770bd2da464c47e500d15d4f3b8,0f29844bb522c16fa995cddf84cbe8832c860073ae16fff285e4ee2e7ebbf110,c94e7c4d060cedea742b849b3b823dedd6b865531e9ecd950020dd4636571741,d2e3e7b08c71ef01d3169d6f96f5d32c3297389833c1e6def9f19d4373c61c7c,1be1dac45da2e1cef9be5e28665c9d5f496eb112bc095d0fa8d20337505e3622,836baa24dbb8132858ec27d3628ea37fb66a0702eacc37a9ff05311c53c36f14,ecf4c6e7fe6cb00349f730f3dbf223e8c330213539511b9bb936f37690ab41ef
"1","10008111","","10008101","0","0","1"
"1","10008115","","10008112","0","0","2"
"3","10008103","","10008101","0","0","3"
"3","10008115","","10008105","0","0","4"
"4","150","","10008112","0","0","5"
"1","10028111","","10028101","0","0","6"
"1","10028115","","10028112","0","0","7"
"3","10028103","","10028101","0","0","8"
"3","10028115","","10028105","0","0","9"
"4","150","","10028112","0","0","10"
"11","20012104","","20012104","0","20012107","11"
"11","20012108","","20012108","0","20012109","12"
"11","20012110","","20012110","0","20012114","13"
"11","20012115","","20012115","0","20012115","14"
"4","120","","20012110","0","0","15"
"1","20008111","","20008101","0","0","16"
"1","20008115","","20008112","0","0","17"
"3","20008103","","20008101","0","0","18"
"3","20008115","","20008105","0","0","19"
"4","150","","20008112","0","0","20"
