af879c9f06518bf6917e113432f7ae0ec3e0ba04a17b3da50ae474b1d8d88528,11f33dda3cfe713f4be847a920fab27ad4bdead11f3f8e6a22353a83e10dc1f7,3df5a37a2cd486f1d9ae212f413372ee3c7eeee180e2e839f4965167c44d0c9e,d188d9cf533f66fea7fbb6c4222098f314ebe74b13b4cf7166627cf49ce27672,b15063ad6b0a2bc2cacdd0173d3942ef9a56891df61052fc1bf71cd9d867eac4
"310001011","150000","94002","12","31000101"
"310001012","10","22003","2","31000101"
"310001021","500000","94002","12","31000102"
"310001022","10","22003","2","31000102"
"310001031","500000","94002","12","31000103"
"310001032","5","140001","4","31000103"
"310001033","5","25001","2","31000103"
"310001041","500000","94002","12","31000104"
"310001042","10","22003","2","31000104"
"310001051","500000","94002","12","31000105"
"310001052","5","140001","4","31000105"
"310001053","5","25001","2","31000105"
"310001061","500000","94002","12","31000106"
"310001062","10","22003","2","31000106"
"310001071","500000","94002","12","31000107"
"310001072","5","140001","4","31000107"
"310001073","5","25001","2","31000107"
"310001081","500000","94002","12","31000108"
"310001082","10","22003","2","31000108"
"310001091","500000","94002","12","31000109"
"310001092","5","140001","4","31000109"
"310001093","5","25001","2","31000109"
"310011011","150000","94002","12","31001101"
"310011012","5","22003","2","31001101"
"310011021","150000","94002","12","31001102"
"310011022","5","22003","2","31001102"
"310011031","150000","94002","12","31001103"
"310011032","5","22003","2","31001103"
"310011111","150000","94002","12","31001111"
"310011112","5","22003","2","31001111"
"310011121","200000","94002","12","31001112"
"310011122","5","22003","2","31001112"
"310012011","150000","94002","12","31001201"
"310012012","5","22003","2","31001201"
"310012021","150000","94002","12","31001202"
"310012022","5","22003","2","31001202"
"310012031","150000","94002","12","31001203"
"310012032","5","22003","2","31001203"
"310012111","150000","94002","12","31001211"
"310012112","5","22003","2","31001211"
"310012121","200000","94002","12","31001212"
"310012122","5","22003","2","31001212"
"310013011","150000","94002","12","31001301"
"310013012","5","22003","2","31001301"
"310013021","150000","94002","12","31001302"
"310013022","5","22003","2","31001302"
"310013031","150000","94002","12","31001303"
"310013032","5","22003","2","31001303"
"310013111","150000","94002","12","31001311"
"310013112","5","22003","2","31001311"
"310013121","200000","94002","12","31001312"
"310013122","5","22003","2","31001312"
"310014011","150000","94002","12","31001401"
"310014012","5","22003","2","31001401"
"310014021","150000","94002","12","31001402"
"310014022","5","22003","2","31001402"
"310014031","150000","94002","12","31001403"
"310014032","5","22003","2","31001403"
"310014111","150000","94002","12","31001411"
"310014112","5","22003","2","31001411"
"310014121","200000","94002","12","31001412"
"310014122","5","22003","2","31001412"
"310021011","150000","94002","12","31002101"
"310021012","5","22003","2","31002101"
"310021021","150000","94002","12","31002102"
"310021022","5","22003","2","31002102"
"310021031","150000","94002","12","31002103"
"310021032","5","22003","2","31002103"
"310021041","50","91002","8","31002104"
"310021111","150000","94002","12","31002111"
"310021112","5","22003","2","31002111"
"310021121","200000","94002","12","31002112"
"310021122","5","22003","2","31002112"
"310021131","100","91002","8","31002113"
"310031011","150000","94002","12","31003101"
"310031012","5","22003","2","31003101"
"310031021","150000","94002","12","31003102"
"310031022","5","22003","2","31003102"
"310031031","150000","94002","12","31003103"
"310031032","5","22003","2","31003103"
"310031041","50","91002","8","31003104"
"310031111","150000","94002","12","31003111"
"310031112","5","22003","2","31003111"
"310031121","200000","94002","12","31003112"
"310031122","5","22003","2","31003112"
"310031131","100","91002","8","31003113"
"310032011","150000","94002","12","31003201"
"310032012","5","22003","2","31003201"
"310032021","150000","94002","12","31003202"
"310032022","5","22003","2","31003202"
"310032031","150000","94002","12","31003203"
"310032032","5","22003","2","31003203"
"310032041","50","91002","8","31003204"
"310032111","150000","94002","12","31003211"
"310032112","5","22003","2","31003211"
"310032121","200000","94002","12","31003212"
"310032122","5","22003","2","31003212"
"310032131","100","91002","8","31003213"
