a29382c10a23c3e1fbea74681474f1312a6bbfe26b9ef09d90533baf084ff871,c30822623ca9de7c49666f0a15730d4102be21ecbc96b77ae3cb3d891089939d,bf880c8387fcba9ad01cf0e6ac1e49393356ae8b8bc7c77951922d68e6b71cc0,3722a0caf3c3196c844e54f2ca4da0ee237cab05ec48ca2b09c915a0834d900d,97c94b71758cf43e70de2c7967f49d006f3ae790e5f88a015ec4a12cf99ed892
"2","3","10201","1","1"
"2","3","10202","2","2"
"2","3","10203","3","3"
"2","10","10301","4","4"
"2","10","10302","5","5"
"2","10","10303","6","6"
"2","10","10304","7","7"
"2","20","10401","8","8"
"2","20","10402","9","9"
"2","20","10403","10","10"
"2","20","10404","11","11"
"2","20","10405","12","12"
"2","20","10406","13","13"
"2","20","10407","14","14"
"2","20","10408","15","15"
"2","20","10409","16","16"
"1","3","10701","17","1"
"1","3","10601","18","2"
"1","3","10602","19","3"
"1","3","10603","20","4"
"1","3","10604","21","5"
"1","10","11301","22","6"
"1","10","11302","23","7"
"1","10","11303","24","8"
"1","20","11401","25","9"
"1","20","11402","26","10"
"1","20","11403","27","11"
"1","20","11601","28","12"
"1","20","11602","29","13"
"1","20","11603","30","14"
"1","20","11604","31","15"
"1","20","11605","32","16"
"1","20","11606","33","17"
"1","20","11101","34","18"
"1","20","11102","35","19"
"1","20","11103","36","20"
"1","20","11701","37","21"
"1","20","11702","38","22"
"1","20","11703","39","23"
"3","3","10501","40","1"
"3","3","10502","41","2"
"3","3","10503","42","3"
"3","10","11201","43","4"
"3","10","10801","44","5"
"3","10","10802","45","6"
"3","10","10803","46","7"
"3","10","10804","47","8"
"3","20","10901","48","9"
"3","20","10902","49","10"
"3","20","10903","50","11"
"3","20","10904","51","12"
"3","20","11001","52","13"
"3","20","11002","53","14"
"3","20","11003","54","15"
"3","20","11501","55","16"
"3","20","11502","56","17"
"3","20","11503","57","18"
"3","20","11504","58","19"
"3","20","11505","59","20"
"3","20","11506","60","21"
