0354130f0ad0b6e9eaa763d446234a20c101a99eec28ef4861fc756c989d55d4,51d9ae679234956518eacb79722381ee7676df8cb16109266600675b31b1604a,35ab64e6680759d3bf2a8ff7c3f35aea229425039bfc0d7694383b8e2ead5d01,c86a5744b7988cc84d41cae6cb18cf50d7aca561ac4fa093a803387547b963f2
"1","22","1","53001"
"500","21","2","99007"
"1","21","3","99008"
"800","21","4","99007"
"2000","21","5","99007"
"1000","21","6","99007"
"2","22","7","53001"
"2","21","8","99008"
"3","21","9","99008"
"1","22","10","53002"
"3","22","11","53001"
"3","22","12","53002"
