745dabaff519b7ebecf6b011c1d68c9c009ea198a71c9ca43a88b9924470fc14,1df2e269701d8fe0ecb59e1da7f62d16a3ea14de7af815af969a0ef8b4a53e3a,3ce062760f57d0dd0671233c35ce7deac34d3ae1ec70921c55afc70c729a977d,faf1dc84c9a04419fa0602cdbdf14d3f5271f1c259a5f14da2922c4084c330aa,7855e7bfa5ddd84e3f39b0f1903049e257ddf97e13adb1995f9263a78767a371
"1","3","0","803100201","3001"
"2","3","0","803100202","3001"
"3","3","0","803100203","3001"
"1","3","0","803100204","3002"
"2","3","0","803100205","3002"
"3","3","0","803100206","3002"
"1","3","0","803100207","3003"
"2","3","0","803100208","3003"
"3","3","0","803100209","3003"
"1","3","0","803100210","3004"
"2","3","0","803100211","3004"
"3","3","0","803100212","3004"
"1","3","0","803100213","3005"
"2","3","0","803100214","3005"
"3","3","0","803100215","3005"
"1","3","0","803100216","3006"
"2","3","0","803100217","3006"
"3","3","0","803100218","3006"
"1","3","0","803100219","3007"
"2","3","0","803100220","3007"
"3","3","0","803100221","3007"
