53dffed537bc2b354eb79326640437b4c3b7fb10cba1bb9ee54d8752c4b93a33,d87f1b7915cb6590e80aa68e62d5250b913af8f0513fa66fef4cbe5fa8ec82ba,8ca172984233374e823b0aaf146feb93c45e2a400c22589d7316cb48b239e866,1b5a3b1da09f0ec7a888ac35b56beea11cf857d62531803d56bdcc053d39bdac,7817f9d60379b4ae9462e2fb6c78e2b78f0b220292b0f8aea340fccfadbf7883,71ad849de4a8518350ad12e930a685ddb4ab7b030342a4b429b60866d2d1fa6f,d5b3cbf8b6f74e68c702929fd9297fb3f34b5a8d9c1ad6f6ca6442c6cd80ef2b,0eed541ccfde0aba8c6deb2d0c6e35b1868971e4e25b8edc2ee32cab99314c8e,0d71ca57301c0fbe10466ae4e0f5453de431498bf174f0b00f716c9cf2149732,209e78ff454605bc69f72038ea356e02e1ce122e9f41aff41327f89ac351af84,48f746c7140c992a07339fbd789945cfb9bfc11c158ef6fa39502dda73c40155,2a500c2fb9db54b63020ee0525b658d399e9b6bdef2ed31ab79cae6cb595701c,058fffd8abad7d366aea4e192a6497157411c18ebc556ecc105204bb1e71a6b2,afdb1005be8e2ea25d79c76168fcf17566c3985bbff8eb5c62919062fd2aeb9b
"2","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","2002","2023/06/30 12:00:00","2023/09/22 14:59:59","-470","クローチェ","0","1","1","1","10001","126401","1.47"
"1","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","2002","2023/06/30 12:00:00","2023/09/22 14:59:59","-470","クローチェ","0","2","2","1","10002","126401","2.15"
"2","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","2002","2023/06/30 12:00:00","2023/09/22 14:59:59","-470","ライラエル","0","2","1","1","10003","126501","0"
"1","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","2002","2023/06/30 12:00:00","2023/09/22 14:59:59","-470","ライラエル","0","1","2","1","10004","126501","0"
"2","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","2002","2023/09/15 15:00:00","2023/12/22 14:59:59","-470","リンド","0","2","1","2","10005","127702","0"
"2","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","2002","2023/09/15 15:00:00","2023/12/22 14:59:59","-470","リンド","0","2","2","2","10006","127702","0"
"1","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","2002","2023/09/15 15:00:00","2023/12/22 14:59:59","-470","ヴルム","0","1","1","2","10007","127802","0"
"1","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","2002","2023/09/15 15:00:00","2023/12/22 14:59:59","-470","ヴルム","0","2","2","2","10008","127802","6.5"
"1","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","2002","2023/12/15 15:00:00","2024/03/22 14:59:59","-470","アネモネ","0","2","1","3","10009","129602","0"
"1","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","2002","2023/12/15 15:00:00","2024/03/22 14:59:59","-470","アネモネ","0","2","2","3","10010","129602","0"
"1","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","2002","2023/12/15 15:00:00","2024/03/22 14:59:59","-470","ネフィ=ネラ","0","1","1","3","10011","129701","0"
"1","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","2002","2023/12/15 15:00:00","2024/03/22 14:59:59","-470","ネフィ=ネラ","0","2","2","3","10012","129701","6.2"
"5","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","2002","2024/03/15 15:00:00","2024/06/22 14:59:59","-470","カノン","0","3","1","4","10013","130301","3.1"
"2","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","2002","2024/03/15 15:00:00","2024/06/22 14:59:59","-470","カノン","0","3","2","4","10014","130301","6.15"
"2","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","2002","2024/03/15 15:00:00","2024/06/22 14:59:59","-470","ナーナ","0","2","1","4","10015","130401","0"
"1","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","2002","2024/03/15 15:00:00","2024/06/22 14:59:59","-470","ナーナ","0","2","2","4","10016","130401","3.35"
"1","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","2002","2024/06/15 15:00:00","2024/09/22 14:59:59","-470","ホウオウ","0","1","1","5","10017","130502","0"
"1","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","2002","2024/06/15 15:00:00","2024/09/22 14:59:59","-470","ホウオウ","0","2","2","5","10018","130502","3.18"
