49531d3032e6c36fd39136877d6d681537917a4b828b8dd5821b347378286965,62a986aaf6a62b30430465fe45377ee879ed24eee9ca17e0605b292ece8c720a,1c568914ee9a1d66bfaf8d91ec5e9d8437f0ccc3d4b578e91742a7d1dcdf3ed8,325bc1ec6b0d79f4dd450e3d7fbae8047343051ad61ded8aebf337b02c5d60c9,fe30b976b468a4cbba856c83f68afc63be0f9ba5173c53ca1bf8fd6088a8638e,b87d9e4ab9e840ef27a3e5f30b32c9954a1bca8d88a732b410b36e88cbd1c32d
"1","150","1","150","0","10"
"1","400","2","250","0","10"
"1","800","3","400","0","10"
"2","150","1","150","0","20"
"2","400","2","250","0","20"
"2","800","3","400","0","20"
"2","1300","4","500","1","20"
"3","800","1","800","0","30"
"3","1800","2","1000","0","30"
"3","3000","3","1200","0","30"
"3","4400","4","1400","1","30"
"3","6000","5","1600","2","30"
"4","800","1","800","0","40"
"4","1800","2","1000","0","40"
"4","3000","3","1200","0","40"
"4","4400","4","1400","1","40"
"4","6000","5","1600","2","40"
"5","0","0","0","0","0"
