1dddb8ce8ba4e5b356c2306452a5a0727b53140d61ce3af69a193bf8b4a7535d,1814f73b5826be447a80415afe410fc10863e2130cb2d975eb5e1977600ea5ac,b698d47fe591aebbcff6467e63f7eb5e63043f906764d0e95e8b9de81b8e134f,e86bce1895830710960a8ca7469ae03c16700977bfd58c8d4f935819ef1e08a3,d33ba51e489ad9908d4a9c3c9e29d81cd3b6697d2cc38928cf6732a49dfca82b,906fd5793c4924ad876c3cb558a5bc480f69d6f0ac096ce42d1ca3b02d41e956,f1702d2206b76c77e0d01171e3381b794c221235cfa9cc9ddd01031f8df1bcc3
"0","3","1","1","料理入手イベント","0","0"
"0","1","2","2","ダイス入手イベント1","0","0"
"0","2","2","3","ダイス入手イベント2","0","0"
"3","0","3","4","ターン数カウントスキップ","0","1"
"2","100","4","5","マイル+100%","1","0"
"2","100","5","6","ミニゲームマイル+100%","1","0"
"3","300","6","7","ショップ割引イベント","1","0"
"3","300","6","8","ショップ割引イベント","1","0"
"3","0","3","98001","ターン数カウントスキップ1","0","2"
"3","0","3","98011","ターン数カウントスキップ1","0","1"
"3","0","3","98012","ターン数カウントスキップ2","0","2"
